32.2137 	EXP 	slider_left: autoLog = True
32.2137 	EXP 	slider_left: markerPos = None
32.2137 	EXP 	slider_left: rating = None
32.2137 	EXP 	slider_left: markerPos = None
32.2137 	EXP 	slider_left: contrast = 1.0
32.2137 	EXP 	slider_left: autoLog = True
32.2137 	EXP 	slider_left: styleTweaks = []
32.2137 	EXP 	slider_left: style = 'rating'
32.2137 	EXP 	slider_left: styleTweaks = []
32.2137 	EXP 	slider_mid: autoLog = True
32.2137 	EXP 	slider_mid: markerPos = None
32.2137 	EXP 	slider_mid: rating = None
32.2137 	EXP 	slider_mid: markerPos = None
32.2137 	EXP 	slider_mid: contrast = 1.0
32.2137 	EXP 	slider_mid: autoLog = True
32.2137 	EXP 	slider_mid: styleTweaks = []
32.2137 	EXP 	slider_mid: style = 'rating'
32.2137 	EXP 	slider_mid: styleTweaks = []
32.2137 	EXP 	slider_right: autoLog = True
32.2137 	EXP 	slider_right: markerPos = None
32.2137 	EXP 	slider_right: rating = None
32.2137 	EXP 	slider_right: markerPos = None
32.2137 	EXP 	slider_right: contrast = 1.0
32.2137 	EXP 	slider_right: autoLog = True
32.2137 	EXP 	slider_right: styleTweaks = []
32.2137 	EXP 	slider_right: style = 'rating'
32.2137 	EXP 	slider_right: styleTweaks = []
32.2137 	EXP 	image_intr: autoDraw = True
178.7720 	DATA 	Mouse: Left button down, pos=(1138,660)
178.8192 	DATA 	Mouse:  Left button up, pos=(1138,660)
179.6343 	DATA 	Mouse: wheel shift=(0,-1), pos=(1138,660)
179.7020 	DATA 	Mouse: wheel shift=(0,-1), pos=(1138,660)
180.7180 	DATA 	Mouse: wheel shift=(0,-1), pos=(1138,660)
181.3015 	DATA 	Mouse: wheel shift=(0,1), pos=(1138,660)
189.2387 	DATA 	Mouse: Left button down, pos=(1308,909)
189.2841 	DATA 	Mouse:  Left button up, pos=(1308,909)
195.5759 	DATA 	Mouse: Left button down, pos=(1338,918)
195.7093 	DATA 	Mouse:  Left button up, pos=(1338,918)
195.9719 	EXP 	Imported GroupC.xlsx as conditions, 84 conditions, 4 params
195.9790 	EXP 	Created sequence: random, trialTypes=84, nReps=1, seed=None
