A1C1,A1C0,A0C1,A0C0,A1,C1,Total,MI,C0GvA1,C1GvA1,C1GvA0,dltP,dltPp,Image_practice,Image,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,betweenTrial.started,betweenTrial.stopped,ISI.started,ISI.stopped,image_card.started,image_card.stopped,textbox.text,textbox.started,textbox.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_endPractice.started,image_endPractice.stopped,polygon_2.started,polygon_2.stopped,ISI_2.started,ISI_2.stopped,Cards.started,Cards.stopped,TextNote.started,TextNote.stopped,Estimation.text,Estimation.started,Estimation.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,participant,gender,session,date,expName,psychopyVersion,frameRate,
36,0,36,0,36,72,72,1.0,0.0,1.0,1.0,0.0,None,,stimuli/P_36_00_36_00.png,,,,,0,5,5,204,,,,,,,,,,,,,,,,,,,,,,,,,,,204.48852806132345,None,204.48852806132345,None,204.96385788916086,None,204.96385788916086,None,25,204.96385788916086,None,return,3.4880484875757247,204.96385788916086,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
36,36,0,36,72,36,108,0.67,0.5,0.5,0.0,0.5,0.5,,stimuli/P_36_36_00_36.png,,,,,0,6,6,243,,,,,,,,,,,,,,,,,,,,,,,,,,,208.471254304357,None,208.471254304357,None,208.95813599983376,None,208.95813599983376,None,25,208.95813599983376,None,return,2.391551196342334,208.95813599983376,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
9,0,36,18,9,45,63,1.0,0.0,1.0,0.67,0.33,1.0,,stimuli/P_09_00_36_18.png,,,,,0,7,7,78,,,,,,,,,,,,,,,,,,,,,,,,,,,211.36852141669078,None,211.36852141669078,None,211.84432740493503,None,211.84432740493503,None,10,211.84432740493503,None,return,5.209011093909794,211.84432740493503,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
9,36,36,18,45,45,99,0.64,0.8,0.2,0.67,-0.47,-1.4,,stimuli/P_09_36_36_18.png,,,,,0,8,8,126,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0889270803309,None,217.0889270803309,None,217.5621867197333,None,217.5621867197333,None,10,217.5621867197333,None,return,3.842454621117213,217.5621867197333,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
9,18,36,9,27,45,72,0.75,0.67,0.33,0.8,-0.47,-2.33,,stimuli/P_09_18_36_09.png,,,,,0,9,9,109,,,,,,,,,,,,,,,,,,,,,,,,,,,221.43819443614484,None,221.43819443614484,None,221.91498574079014,None,221.91498574079014,None,5,221.91498574079014,None,return,6.315013957697374,221.91498574079014,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
18,18,9,9,36,27,54,0.67,0.5,0.5,0.5,0.0,0.0,,stimuli/P_18_18_09_09.png,,,,,0,10,10,165,,,,,,,,,,,,,,,,,,,,,,,,,,,228.25631822761352,None,228.25631822761352,None,228.73194786014938,None,228.73194786014938,None,13,228.73194786014938,None,return,6.201469896368508,228.73194786014938,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
9,18,0,0,27,9,27,0.33,0.67,0.33,None,None,None,,stimuli/P_09_18_00_00.png,,,,,0,11,11,96,,,,,,,,,,,,,,,,,,,,,,,,,,,234.96904786692176,None,234.96904786692176,None,235.4462425141246,None,235.4462425141246,None,13,235.4462425141246,None,return,2.212000038678525,235.4462425141246,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
36,36,36,0,72,72,108,0.67,0.5,0.5,1.0,-0.5,#NAME?,,stimuli/P_36_36_36_00.png,,,,,0,12,12,252,,,,,,,,,,,,,,,,,,,,,,,,,,,237.69065843825229,None,237.69065843825229,None,238.18279268931656,None,238.18279268931656,None,25,238.18279268931656,None,return,2.2149434723105514,238.18279268931656,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
18,18,18,0,36,36,54,0.67,0.5,0.5,1.0,-0.5,#NAME?,,stimuli/P_18_18_18_00.png,,,,,0,13,13,168,,,,,,,,,,,,,,,,,,,,,,,,,,,240.43470088650065,None,240.43470088650065,None,240.9030436150424,None,240.9030436150424,None,13,240.9030436150424,None,return,6.875196480170416,240.9030436150424,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
36,9,0,18,45,36,63,0.86,0.2,0.8,0.0,0.8,0.8,,stimuli/P_36_09_00_18.png,,,,,0,14,14,210,,,,,,,,,,,,,,,,,,,,,,,,,,,247.80559058966173,None,247.80559058966173,None,248.2857884038749,None,248.2857884038749,None,25,248.2857884038749,None,return,2.072317786150961,248.2857884038749,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
