A1C1,A1C0,A0C1,A0C0,A1,C1,Total,MI,C0GvA1,C1GvA1,C1GvA0,dltP,dltPp,Image
9,0,9,18,9,18,36,1.0,0.0,1.0,0.33,0.67,1.0,P_09_00_09_18.png
9,0,9,36,9,18,54,1.0,0.0,1.0,0.2,0.8,1.0,P_09_00_09_36.png
9,0,18,0,9,27,27,1.0,0.0,1.0,1.0,-0.0,-1.0,P_09_00_18_00.png
9,0,18,9,9,27,36,1.0,0.0,1.0,0.67,0.33,1.0,P_09_00_18_09.png
9,0,18,18,9,27,45,1.0,0.0,1.0,0.5,0.5,1.0,P_09_00_18_18.png
9,0,18,36,9,27,63,1.0,0.0,1.0,0.33,0.67,1.0,P_09_00_18_36.png
9,0,36,0,9,45,45,1.0,0.0,1.0,1.0,-0.0,-3.0,P_09_00_36_00.png
9,0,36,9,9,45,54,1.0,0.0,1.0,0.8,0.2,1.0,P_09_00_36_09.png
9,0,36,18,9,45,63,1.0,0.0,1.0,0.67,0.33,1.0,P_09_00_36_18.png
9,0,36,36,9,45,81,1.0,0.0,1.0,0.5,0.5,1.0,P_09_00_36_36.png
9,9,0,0,18,9,18,0.5,0.5,0.5,0.5,0.0,0.0,P_09_09_00_00.png
9,9,0,9,18,9,27,0.67,0.5,0.5,0.0,0.5,0.5,P_09_09_00_09.png
9,9,0,18,18,9,36,0.75,0.5,0.5,0.0,0.5,0.5,P_09_09_00_18.png
9,9,0,36,18,9,54,0.83,0.5,0.5,0.0,0.5,0.5,P_09_09_00_36.png
9,9,9,0,18,18,27,0.67,0.5,0.5,1.0,-0.5,-449999.5,P_09_09_09_00.png
9,9,9,9,18,18,36,0.75,0.5,0.5,0.5,0.0,0.0,P_09_09_09_09.png
9,9,9,18,18,18,45,0.8,0.5,0.5,0.33,0.17,0.25,P_09_09_09_18.png
9,9,9,36,18,18,63,0.86,0.5,0.5,0.2,0.3,0.37,P_09_09_09_36.png
9,9,18,0,18,27,36,0.75,0.5,0.5,1.0,-0.5,-899999.5,P_09_09_18_00.png
9,9,18,9,18,27,45,0.8,0.5,0.5,0.67,-0.17,-0.5,P_09_09_18_09.png
9,9,18,18,18,27,54,0.83,0.5,0.5,0.5,0.0,0.0,P_09_09_18_18.png
9,9,18,36,18,27,72,0.88,0.5,0.5,0.33,0.17,0.25,P_09_09_18_36.png
9,9,36,0,18,45,54,0.83,0.5,0.5,1.0,-0.5,-1.7999995e6,P_09_09_36_00.png
9,9,36,9,18,45,63,0.86,0.5,0.5,0.8,-0.3,-1.5,P_09_09_36_09.png
9,9,36,18,18,45,72,0.88,0.5,0.5,0.67,-0.17,-0.5,P_09_09_36_18.png
9,9,36,36,18,45,90,0.9,0.5,0.5,0.5,0.0,0.0,P_09_09_36_36.png
9,18,0,0,27,9,27,0.33,0.67,0.33,0.5,-0.17,-0.33,P_09_18_00_00.png
9,18,0,9,27,9,36,0.5,0.67,0.33,0.0,0.33,0.33,P_09_18_00_09.png
9,18,0,18,27,9,45,0.6,0.67,0.33,0.0,0.33,0.33,P_09_18_00_18.png
9,18,0,36,27,9,63,0.71,0.67,0.33,0.0,0.33,0.33,P_09_18_00_36.png
9,18,9,0,27,18,36,0.5,0.67,0.33,1.0,-0.67,-599999.67,P_09_18_09_00.png
9,18,9,9,27,18,45,0.6,0.67,0.33,0.5,-0.17,-0.33,P_09_18_09_09.png
9,18,9,18,27,18,54,0.67,0.67,0.33,0.33,0.0,0.0,P_09_18_09_18.png
9,18,9,36,27,18,72,0.75,0.67,0.33,0.2,0.13,0.17,P_09_18_09_36.png
9,18,18,0,27,27,45,0.6,0.67,0.33,1.0,-0.67,-1.19999967e6,P_09_18_18_00.png
9,18,18,9,27,27,54,0.67,0.67,0.33,0.67,-0.33,-1.0,P_09_18_18_09.png
9,18,18,18,27,27,63,0.71,0.67,0.33,0.5,-0.17,-0.33,P_09_18_18_18.png
9,18,18,36,27,27,81,0.78,0.67,0.33,0.33,0.0,0.0,P_09_18_18_36.png
9,18,36,0,27,45,63,0.71,0.67,0.33,1.0,-0.67,-2.39999967e6,P_09_18_36_00.png
9,18,36,9,27,45,72,0.75,0.67,0.33,0.8,-0.47,-2.33,P_09_18_36_09.png
9,18,36,18,27,45,81,0.78,0.67,0.33,0.67,-0.33,-1.0,P_09_18_36_18.png
9,18,36,36,27,45,99,0.82,0.67,0.33,0.5,-0.17,-0.33,P_09_18_36_36.png
9,36,0,0,45,9,45,0.2,0.8,0.2,0.5,-0.3,-0.6,P_09_36_00_00.png
9,36,0,9,45,9,54,0.33,0.8,0.2,0.0,0.2,0.2,P_09_36_00_09.png
9,36,0,18,45,9,63,0.43,0.8,0.2,0.0,0.2,0.2,P_09_36_00_18.png
9,36,0,36,45,9,81,0.56,0.8,0.2,0.0,0.2,0.2,P_09_36_00_36.png
9,36,9,0,45,18,54,0.33,0.8,0.2,1.0,-0.8,-719999.8,P_09_36_09_00.png
9,36,9,9,45,18,63,0.43,0.8,0.2,0.5,-0.3,-0.6,P_09_36_09_09.png
9,36,9,18,45,18,72,0.5,0.8,0.2,0.33,-0.13,-0.2,P_09_36_09_18.png
9,36,9,36,45,18,90,0.6,0.8,0.2,0.2,0.0,0.0,P_09_36_09_36.png
9,36,18,0,45,27,63,0.43,0.8,0.2,1.0,-0.8,-1.4399998e6,P_09_36_18_00.png
9,36,18,9,45,27,72,0.5,0.8,0.2,0.67,-0.47,-1.4,P_09_36_18_09.png
9,36,18,18,45,27,81,0.56,0.8,0.2,0.5,-0.3,-0.6,P_09_36_18_18.png
9,36,18,36,45,27,99,0.64,0.8,0.2,0.33,-0.13,-0.2,P_09_36_18_36.png
9,36,36,0,45,45,81,0.56,0.8,0.2,1.0,-0.8,-2.8799998e6,P_09_36_36_00.png
9,36,36,9,45,45,90,0.6,0.8,0.2,0.8,-0.6,-3.0,P_09_36_36_09.png
9,36,36,18,45,45,99,0.64,0.8,0.2,0.67,-0.47,-1.4,P_09_36_36_18.png
9,36,36,36,45,45,117,0.69,0.8,0.2,0.5,-0.3,-0.6,P_09_36_36_36.png
18,0,0,0,18,18,18,1.0,0.0,1.0,0.5,0.5,1.0,P_18_00_00_00.png
18,0,0,9,18,18,27,1.0,0.0,1.0,0.0,1.0,1.0,P_18_00_00_09.png
18,0,0,18,18,18,36,1.0,0.0,1.0,0.0,1.0,1.0,P_18_00_00_18.png
18,0,0,36,18,18,54,1.0,0.0,1.0,0.0,1.0,1.0,P_18_00_00_36.png
18,0,9,0,18,27,27,1.0,0.0,1.0,1.0,0.0,0.5,P_18_00_09_00.png
18,0,9,9,18,27,36,1.0,0.0,1.0,0.5,0.5,1.0,P_18_00_09_09.png
18,0,9,18,18,27,45,1.0,0.0,1.0,0.33,0.67,1.0,P_18_00_09_18.png
18,0,9,36,18,27,63,1.0,0.0,1.0,0.2,0.8,1.0,P_18_00_09_36.png
18,0,18,0,18,36,36,1.0,0.0,1.0,1.0,0.0,0.0,P_18_00_18_00.png
18,0,18,9,18,36,45,1.0,0.0,1.0,0.67,0.33,1.0,P_18_00_18_09.png
18,0,18,18,18,36,54,1.0,0.0,1.0,0.5,0.5,1.0,P_18_00_18_18.png
18,0,18,36,18,36,72,1.0,0.0,1.0,0.33,0.67,1.0,P_18_00_18_36.png
18,0,36,0,18,54,54,1.0,0.0,1.0,1.0,-0.0,-1.0,P_18_00_36_00.png
18,0,36,9,18,54,63,1.0,0.0,1.0,0.8,0.2,1.0,P_18_00_36_09.png
18,0,36,18,18,54,72,1.0,0.0,1.0,0.67,0.33,1.0,P_18_00_36_18.png
18,0,36,36,18,54,90,1.0,0.0,1.0,0.5,0.5,1.0,P_18_00_36_36.png
18,9,0,0,27,18,27,0.67,0.33,0.67,0.5,0.17,0.33,P_18_09_00_00.png
18,9,0,9,27,18,36,0.75,0.33,0.67,0.0,0.67,0.67,P_18_09_00_09.png
18,9,0,18,27,18,45,0.8,0.33,0.67,0.0,0.67,0.67,P_18_09_00_18.png
18,9,0,36,27,18,63,0.86,0.33,0.67,0.0,0.67,0.67,P_18_09_00_36.png
18,9,9,0,27,27,36,0.75,0.33,0.67,1.0,-0.33,-299999.33,P_18_09_09_00.png
18,9,9,9,27,27,45,0.8,0.33,0.67,0.5,0.17,0.33,P_18_09_09_09.png
18,9,9,18,27,27,54,0.83,0.33,0.67,0.33,0.33,0.5,P_18_09_09_18.png
18,9,9,36,27,27,72,0.88,0.33,0.67,0.2,0.47,0.58,P_18_09_09_36.png
18,9,18,0,27,36,45,0.8,0.33,0.67,1.0,-0.33,-599999.33,P_18_09_18_00.png
18,9,18,9,27,36,54,0.83,0.33,0.67,0.67,0.0,0.0,P_18_09_18_09.png
18,9,18,18,27,36,63,0.86,0.33,0.67,0.5,0.17,0.33,P_18_09_18_18.png
18,9,18,36,27,36,81,0.89,0.33,0.67,0.33,0.33,0.5,P_18_09_18_36.png
18,9,36,0,27,54,63,0.86,0.33,0.67,1.0,-0.33,-1.19999933e6,P_18_09_36_00.png
18,9,36,9,27,54,72,0.88,0.33,0.67,0.8,-0.13,-0.67,P_18_09_36_09.png
18,9,36,18,27,54,81,0.89,0.33,0.67,0.67,0.0,0.0,P_18_09_36_18.png
18,9,36,36,27,54,99,0.91,0.33,0.67,0.5,0.17,0.33,P_18_09_36_36.png
18,18,0,0,36,18,36,0.5,0.5,0.5,0.5,0.0,0.0,P_18_18_00_00.png
18,18,0,9,36,18,45,0.6,0.5,0.5,0.0,0.5,0.5,P_18_18_00_09.png
18,18,0,18,36,18,54,0.67,0.5,0.5,0.0,0.5,0.5,P_18_18_00_18.png
18,18,0,36,36,18,72,0.75,0.5,0.5,0.0,0.5,0.5,P_18_18_00_36.png
18,18,9,0,36,27,45,0.6,0.5,0.5,1.0,-0.5,-449999.5,P_18_18_09_00.png
18,18,9,9,36,27,54,0.67,0.5,0.5,0.5,0.0,0.0,P_18_18_09_09.png
18,18,9,18,36,27,63,0.71,0.5,0.5,0.33,0.17,0.25,P_18_18_09_18.png
18,18,9,36,36,27,81,0.78,0.5,0.5,0.2,0.3,0.37,P_18_18_09_36.png
18,18,18,0,36,36,54,0.67,0.5,0.5,1.0,-0.5,-899999.5,P_18_18_18_00.png
18,18,18,9,36,36,63,0.71,0.5,0.5,0.67,-0.17,-0.5,P_18_18_18_09.png
18,18,18,18,36,36,72,0.75,0.5,0.5,0.5,0.0,0.0,P_18_18_18_18.png
18,18,18,36,36,36,90,0.8,0.5,0.5,0.33,0.17,0.25,P_18_18_18_36.png
18,18,36,0,36,54,72,0.75,0.5,0.5,1.0,-0.5,-1.7999995e6,P_18_18_36_00.png
18,18,36,9,36,54,81,0.78,0.5,0.5,0.8,-0.3,-1.5,P_18_18_36_09.png
18,18,36,18,36,54,90,0.8,0.5,0.5,0.67,-0.17,-0.5,P_18_18_36_18.png
18,18,36,36,36,54,108,0.83,0.5,0.5,0.5,0.0,0.0,P_18_18_36_36.png
18,36,0,0,54,18,54,0.33,0.67,0.33,0.5,-0.17,-0.33,P_18_36_00_00.png
18,36,0,9,54,18,63,0.43,0.67,0.33,0.0,0.33,0.33,P_18_36_00_09.png
18,36,0,18,54,18,72,0.5,0.67,0.33,0.0,0.33,0.33,P_18_36_00_18.png
18,36,0,36,54,18,90,0.6,0.67,0.33,0.0,0.33,0.33,P_18_36_00_36.png
18,36,9,0,54,27,63,0.43,0.67,0.33,1.0,-0.67,-599999.67,P_18_36_09_00.png
18,36,9,9,54,27,72,0.5,0.67,0.33,0.5,-0.17,-0.33,P_18_36_09_09.png
18,36,9,18,54,27,81,0.56,0.67,0.33,0.33,0.0,0.0,P_18_36_09_18.png
18,36,9,36,54,27,99,0.64,0.67,0.33,0.2,0.13,0.17,P_18_36_09_36.png
18,36,18,0,54,36,72,0.5,0.67,0.33,1.0,-0.67,-1.19999967e6,P_18_36_18_00.png
18,36,18,9,54,36,81,0.56,0.67,0.33,0.67,-0.33,-1.0,P_18_36_18_09.png
18,36,18,18,54,36,90,0.6,0.67,0.33,0.5,-0.17,-0.33,P_18_36_18_18.png
18,36,18,36,54,36,108,0.67,0.67,0.33,0.33,0.0,0.0,P_18_36_18_36.png
18,36,36,0,54,54,90,0.6,0.67,0.33,1.0,-0.67,-2.39999967e6,P_18_36_36_00.png
18,36,36,9,54,54,99,0.64,0.67,0.33,0.8,-0.47,-2.33,P_18_36_36_09.png
18,36,36,18,54,54,108,0.67,0.67,0.33,0.67,-0.33,-1.0,P_18_36_36_18.png
18,36,36,36,54,54,126,0.71,0.67,0.33,0.5,-0.17,-0.33,P_18_36_36_36.png
36,0,0,0,36,36,36,1.0,0.0,1.0,0.5,0.5,1.0,P_36_00_00_00.png
36,0,0,9,36,36,45,1.0,0.0,1.0,0.0,1.0,1.0,P_36_00_00_09.png
36,0,0,18,36,36,54,1.0,0.0,1.0,0.0,1.0,1.0,P_36_00_00_18.png
36,0,0,36,36,36,72,1.0,0.0,1.0,0.0,1.0,1.0,P_36_00_00_36.png
36,0,9,0,36,45,45,1.0,0.0,1.0,1.0,0.0,0.75,P_36_00_09_00.png
36,0,9,9,36,45,54,1.0,0.0,1.0,0.5,0.5,1.0,P_36_00_09_09.png
36,0,9,18,36,45,63,1.0,0.0,1.0,0.33,0.67,1.0,P_36_00_09_18.png
36,0,9,36,36,45,81,1.0,0.0,1.0,0.2,0.8,1.0,P_36_00_09_36.png
36,0,18,0,36,54,54,1.0,0.0,1.0,1.0,0.0,0.5,P_36_00_18_00.png
36,0,18,9,36,54,63,1.0,0.0,1.0,0.67,0.33,1.0,P_36_00_18_09.png
36,0,18,18,36,54,72,1.0,0.0,1.0,0.5,0.5,1.0,P_36_00_18_18.png
36,0,18,36,36,54,90,1.0,0.0,1.0,0.33,0.67,1.0,P_36_00_18_36.png
36,0,36,0,36,72,72,1.0,0.0,1.0,1.0,0.0,0.0,P_36_00_36_00.png
36,0,36,9,36,72,81,1.0,0.0,1.0,0.8,0.2,1.0,P_36_00_36_09.png
36,0,36,18,36,72,90,1.0,0.0,1.0,0.67,0.33,1.0,P_36_00_36_18.png
36,0,36,36,36,72,108,1.0,0.0,1.0,0.5,0.5,1.0,P_36_00_36_36.png
36,9,0,0,45,36,45,0.8,0.2,0.8,0.5,0.3,0.6,P_36_09_00_00.png
36,9,0,9,45,36,54,0.83,0.2,0.8,0.0,0.8,0.8,P_36_09_00_09.png
36,9,0,18,45,36,63,0.86,0.2,0.8,0.0,0.8,0.8,P_36_09_00_18.png
36,9,0,36,45,36,81,0.89,0.2,0.8,0.0,0.8,0.8,P_36_09_00_36.png
36,9,9,0,45,45,54,0.83,0.2,0.8,1.0,-0.2,-179999.2,P_36_09_09_00.png
36,9,9,9,45,45,63,0.86,0.2,0.8,0.5,0.3,0.6,P_36_09_09_09.png
36,9,9,18,45,45,72,0.88,0.2,0.8,0.33,0.47,0.7,P_36_09_09_18.png
36,9,9,36,45,45,90,0.9,0.2,0.8,0.2,0.6,0.75,P_36_09_09_36.png
36,9,18,0,45,54,63,0.86,0.2,0.8,1.0,-0.2,-359999.2,P_36_09_18_00.png
36,9,18,9,45,54,72,0.88,0.2,0.8,0.67,0.13,0.4,P_36_09_18_09.png
36,9,18,18,45,54,81,0.89,0.2,0.8,0.5,0.3,0.6,P_36_09_18_18.png
36,9,18,36,45,54,99,0.91,0.2,0.8,0.33,0.47,0.7,P_36_09_18_36.png
36,9,36,0,45,72,81,0.89,0.2,0.8,1.0,-0.2,-719999.2,P_36_09_36_00.png
36,9,36,9,45,72,90,0.9,0.2,0.8,0.8,0.0,0.0,P_36_09_36_09.png
36,9,36,18,45,72,99,0.91,0.2,0.8,0.67,0.13,0.4,P_36_09_36_18.png
36,9,36,36,45,72,117,0.92,0.2,0.8,0.5,0.3,0.6,P_36_09_36_36.png
36,18,0,0,54,36,54,0.67,0.33,0.67,0.5,0.17,0.33,P_36_18_00_00.png
36,18,0,9,54,36,63,0.71,0.33,0.67,0.0,0.67,0.67,P_36_18_00_09.png
36,18,0,18,54,36,72,0.75,0.33,0.67,0.0,0.67,0.67,P_36_18_00_18.png
36,18,0,36,54,36,90,0.8,0.33,0.67,0.0,0.67,0.67,P_36_18_00_36.png
36,18,9,0,54,45,63,0.71,0.33,0.67,1.0,-0.33,-299999.33,P_36_18_09_00.png
36,18,9,9,54,45,72,0.75,0.33,0.67,0.5,0.17,0.33,P_36_18_09_09.png
36,18,9,18,54,45,81,0.78,0.33,0.67,0.33,0.33,0.5,P_36_18_09_18.png
36,18,9,36,54,45,99,0.82,0.33,0.67,0.2,0.47,0.58,P_36_18_09_36.png
36,18,18,0,54,54,72,0.75,0.33,0.67,1.0,-0.33,-599999.33,P_36_18_18_00.png
36,18,18,9,54,54,81,0.78,0.33,0.67,0.67,0.0,0.0,P_36_18_18_09.png
36,18,18,18,54,54,90,0.8,0.33,0.67,0.5,0.17,0.33,P_36_18_18_18.png
36,18,18,36,54,54,108,0.83,0.33,0.67,0.33,0.33,0.5,P_36_18_18_36.png
36,18,36,0,54,72,90,0.8,0.33,0.67,1.0,-0.33,-1.19999933e6,P_36_18_36_00.png
36,18,36,9,54,72,99,0.82,0.33,0.67,0.8,-0.13,-0.67,P_36_18_36_09.png
36,18,36,18,54,72,108,0.83,0.33,0.67,0.67,0.0,0.0,P_36_18_36_18.png
36,18,36,36,54,72,126,0.86,0.33,0.67,0.5,0.17,0.33,P_36_18_36_36.png
36,36,0,0,72,36,72,0.5,0.5,0.5,0.5,0.0,0.0,P_36_36_00_00.png
36,36,0,9,72,36,81,0.56,0.5,0.5,0.0,0.5,0.5,P_36_36_00_09.png
36,36,0,18,72,36,90,0.6,0.5,0.5,0.0,0.5,0.5,P_36_36_00_18.png
36,36,0,36,72,36,108,0.67,0.5,0.5,0.0,0.5,0.5,P_36_36_00_36.png
36,36,9,0,72,45,81,0.56,0.5,0.5,1.0,-0.5,-449999.5,P_36_36_09_00.png
36,36,9,9,72,45,90,0.6,0.5,0.5,0.5,0.0,0.0,P_36_36_09_09.png
36,36,9,18,72,45,99,0.64,0.5,0.5,0.33,0.17,0.25,P_36_36_09_18.png
36,36,9,36,72,45,117,0.69,0.5,0.5,0.2,0.3,0.37,P_36_36_09_36.png
36,36,18,0,72,54,90,0.6,0.5,0.5,1.0,-0.5,-899999.5,P_36_36_18_00.png
36,36,18,9,72,54,99,0.64,0.5,0.5,0.67,-0.17,-0.5,P_36_36_18_09.png
36,36,18,18,72,54,108,0.67,0.5,0.5,0.5,0.0,0.0,P_36_36_18_18.png
36,36,18,36,72,54,126,0.71,0.5,0.5,0.33,0.17,0.25,P_36_36_18_36.png
36,36,36,0,72,72,108,0.67,0.5,0.5,1.0,-0.5,-1.7999995e6,P_36_36_36_00.png
36,36,36,9,72,72,117,0.69,0.5,0.5,0.8,-0.3,-1.5,P_36_36_36_09.png
36,36,36,18,72,72,126,0.71,0.5,0.5,0.67,-0.17,-0.5,P_36_36_36_18.png
36,36,36,36,72,72,144,0.75,0.5,0.5,0.5,0.0,0.0,P_36_36_36_36.png
