number,type,latency,connective,pause
290,211,720304,and,0
291,58,721076,and,0
292,202,721876,and,0
293,203,722510,and,0
294,204,722793,and,0
295,255,724693,and,0
296,222,729692,or,200
297,131,730426,or,200
298,202,731309,or,200
299,203,731793,or,200
300,204,732493,or,200
301,255,734593,or,200
302,222,738228,or,200
303,171,738676,or,200
304,202,739543,or,200
305,203,740143,or,200
306,204,740826,or,200
307,255,743010,or,200
308,221,746359,and,200
309,79,746977,and,200
310,202,747777,and,200
311,203,748327,and,200
312,204,748660,and,200
313,255,750610,and,200
314,222,755308,or,200
315,67,755960,or,200
316,202,756843,or,200
317,203,757360,or,200
318,204,757993,or,200
319,255,760060,or,200
320,212,763247,or,0
321,57,763843,or,0
322,202,764643,or,0
323,203,765177,or,0
324,204,765960,or,0
325,255,768043,or,0
326,212,771474,or,0
327,159,772043,or,0
328,202,772843,or,0
329,203,773360,or,0
330,204,774110,or,0
331,255,776177,or,0
332,212,779338,or,0
333,36,779993,or,0
334,202,780743,or,0
335,203,781343,or,0
336,204,782060,or,0
337,255,784093,or,0
338,222,787591,or,200
339,89,788326,or,200
340,202,789043,or,200
341,203,789609,or,200
342,204,790309,or,200
343,255,792343,or,200
344,212,797341,or,0
345,97,798193,or,0
346,202,798959,or,0
347,203,799509,or,0
348,204,800259,or,0
349,255,802259,or,0
350,212,807248,or,0
351,62,807926,or,0
352,202,808726,or,0
353,203,809176,or,0
354,204,809926,or,0
355,255,812093,or,0
356,222,816104,or,200
357,85,816842,or,200
358,202,817559,or,200
359,203,818109,or,200
360,204,818826,or,200
361,255,820826,or,200
362,212,824426,or,0
363,49,825192,or,0
364,202,825942,or,0
365,203,826542,or,0
366,204,827292,or,0
367,255,829359,or,0
368,221,833088,and,200
369,21,833825,and,200
370,202,834575,and,200
371,203,835175,and,200
372,204,835492,and,200
373,255,837325,and,200
374,222,840420,or,200
375,169,841025,or,200
376,202,841792,or,200
377,203,842308,or,200
378,204,843025,or,200
379,255,845159,or,200
380,222,849464,or,200
381,13,850108,or,200
382,202,850875,or,200
383,203,851475,or,200
384,204,852092,or,200
385,255,854142,or,200
386,221,859130,and,200
387,170,859691,and,200
388,202,860491,and,200
389,203,861141,and,200
390,204,861458,and,200
391,255,863358,and,200
392,222,866531,or,200
393,110,867258,or,200
394,202,868091,or,200
395,203,868608,or,200
396,204,869325,or,200
397,255,871342,or,200
398,211,874936,and,0
399,71,875591,and,0
400,202,876425,and,0
401,203,876991,and,0
402,204,877308,and,0
403,255,879108,and,0
404,211,882819,and,0
405,84,883508,and,0
406,202,884391,and,0
407,203,884908,and,0
408,204,885191,and,0
409,255,887075,and,0
410,211,890470,and,0
411,92,891074,and,0
412,202,891924,and,0
413,203,892441,and,0
414,204,892724,and,0
415,255,894574,and,0
416,211,897755,and,0
417,146,898574,and,0
418,202,899441,and,0
419,203,900091,and,0
420,204,900374,and,0
421,255,902308,and,0
422,221,905468,and,200
423,93,906241,and,200
424,202,907041,and,200
425,203,907591,and,200
426,204,907924,and,200
427,255,909724,and,200
428,211,913088,and,0
429,24,913741,and,0
430,202,914624,and,0
431,203,915257,and,0
432,204,915507,and,0
433,255,917441,and,0
434,212,921027,or,0
435,162,921624,or,0
436,202,922557,or,0
437,203,923024,or,0
438,204,923774,or,0
439,255,925941,or,0
440,212,929407,or,0
441,69,930024,or,0
442,202,930824,or,0
443,203,931340,or,0
444,204,932090,or,0
445,255,934224,or,0
446,212,937842,or,0
447,153,938490,or,0
448,202,939323,or,0
449,203,939840,or,0
450,204,940590,or,0
451,255,942574,or,0
452,211,947562,and,0
453,179,948240,and,0
454,202,948973,and,0
455,203,949607,and,0
456,204,949890,and,0
457,255,951807,and,0
458,211,955319,and,0
459,151,956206,and,0
460,202,957006,and,0
461,203,957573,and,0
462,204,957856,and,0
463,255,959707,and,0
464,221,962762,and,200
465,145,963573,and,200
466,202,964290,and,200
467,203,964923,and,200
468,204,965240,and,200
469,255,967173,and,200
470,221,972174,and,200
471,137,972939,and,200
472,202,973739,and,200
473,203,974339,and,200
474,204,974622,and,200
475,255,976522,and,200
476,212,979611,or,0
477,156,980222,or,0
478,202,980972,or,0
479,203,981538,or,0
480,204,982238,or,0
481,255,984172,or,0
482,211,987540,and,0
483,117,988388,and,0
484,202,989188,and,0
485,203,989655,and,0
486,204,989988,and,0
487,255,991805,and,0
488,221,994993,and,200
489,123,995805,and,200
490,202,996671,and,200
491,203,997321,and,200
492,204,997605,and,200
493,255,999555,and,200
494,221,1002820,and,200
495,119,1003638,and,200
496,202,1004471,and,200
497,203,1004955,and,200
498,204,1005238,and,200
499,255,1007122,and,200
500,211,1010793,and,0
501,29,1011555,and,0
502,202,1012321,and,0
503,203,1012871,and,0
504,204,1013154,and,0
505,255,1015105,and,0
506,221,1018778,and,200
507,157,1019221,and,200
508,202,1020104,and,200
509,203,1020704,and,200
510,204,1021071,and,200
511,255,1022921,and,200
512,222,1026336,or,200
513,139,1027154,or,200
514,202,1028071,or,200
515,203,1028554,or,200
516,204,1029221,or,200
517,255,1031371,or,200
518,222,1034526,or,200
519,99,1035337,or,200
520,202,1036004,or,200
521,203,1036571,or,200
522,204,1037287,or,200
523,255,1039404,or,200
524,221,1042443,and,200
525,107,1043255,and,200
526,202,1044005,and,200
527,203,1044605,and,200
528,204,1044888,and,200
529,255,1046788,and,200
530,222,1050811,or,200
531,180,1051488,or,200
532,202,1052255,or,200
533,203,1052821,or,200
534,204,1053438,or,200
535,255,1055622,or,200
536,211,1060360,and,0
537,141,1061121,and,0
538,202,1062005,and,0
539,203,1062721,and,0
540,204,1062971,and,0
541,255,1064888,and,0
542,222,1099059,or,200
543,149,1099821,or,200
544,202,1100621,or,200
545,203,1101104,or,200
546,204,1101771,or,200
547,255,1103821,or,200
548,211,1107262,and,0
549,132,1107987,and,0
550,202,1108837,and,0
551,203,1109504,and,0
552,204,1109754,and,0
553,255,1111654,and,0
554,211,1115254,and,0
555,152,1116104,and,0
556,202,1116954,and,0
557,203,1117637,and,0
558,204,1117904,and,0
559,255,1119721,and,0
560,221,1124519,and,200
561,78,1125137,and,200
562,202,1125970,and,200
563,203,1126487,and,200
564,204,1126854,and,200
565,255,1128704,and,200
566,222,1131883,or,200
567,136,1132737,or,200
568,202,1133503,or,200
569,203,1133970,or,200
570,204,1134653,or,200
571,255,1136654,or,200
572,221,1141653,and,200
573,133,1142437,and,200
574,202,1143187,and,200
575,203,1143837,and,200
576,204,1144153,and,200
577,255,1145970,and,200
578,222,1149382,or,200
579,39,1150120,or,200
580,202,1150953,or,200
581,203,1151386,or,200
582,204,1152070,or,200
583,255,1154153,or,200
584,222,1158337,or,200
585,73,1159070,or,200
586,202,1159870,or,200
587,203,1160470,or,200
588,204,1161136,or,200
589,255,1163070,or,200
590,212,1168065,or,0
591,161,1168603,or,0
592,202,1169436,or,0
593,203,1169953,or,0
594,204,1170703,or,0
595,255,1172653,or,0
596,222,1176516,or,200
597,66,1177086,or,200
598,202,1177969,or,200
599,203,1178603,or,200
600,204,1179203,or,200
601,255,1181219,or,200
602,221,1184503,and,200
603,43,1185186,and,200
604,202,1185986,and,200
605,203,1186619,and,200
606,204,1186936,and,200
607,255,1188903,and,200
608,211,1191966,and,0
609,12,1192586,and,0
610,202,1193419,and,0
611,203,1194019,and,0
612,204,1194386,and,0
