number	type	latency
186.000000	204	541380.000000
187.000000	255	543331.000000
188.000000	221	546857.000000
189.000000	56	547514.000000
190.000000	202	548380.000000
191.000000	203	548980.000000
192.000000	204	549264.000000
193.000000	255	551164.000000
194.000000	221	554812.000000
195.000000	88	555347.000000
196.000000	202	556230.000000
197.000000	203	556864.000000
198.000000	204	557180.000000
199.000000	255	559097.000000
200.000000	212	562586.000000
201.000000	127	563397.000000
202.000000	202	564113.000000
203.000000	203	564663.000000
204.000000	204	565380.000000
205.000000	255	567447.000000
206.000000	212	571243.000000
207.000000	61	571897.000000
208.000000	202	572697.000000
209.000000	203	573180.000000
210.000000	204	573930.000000
211.000000	255	576013.000000
212.000000	212	579526.000000
213.000000	27	580180.000000
214.000000	202	580980.000000
215.000000	203	581546.000000
216.000000	204	582246.000000
217.000000	255	584263.000000
218.000000	212	587709.000000
219.000000	91	588396.000000
220.000000	202	589196.000000
221.000000	203	589713.000000
222.000000	204	590430.000000
223.000000	255	592596.000000
224.000000	222	596060.000000
225.000000	140	596913.000000
226.000000	202	597746.000000
227.000000	203	598280.000000
228.000000	204	598896.000000
229.000000	255	600996.000000
230.000000	222	604440.000000
231.000000	48	605163.000000
232.000000	202	606013.000000
233.000000	203	606529.000000
234.000000	204	607196.000000
235.000000	255	609363.000000
236.000000	211	612841.000000
237.000000	143	613579.000000
238.000000	202	614329.000000
239.000000	203	614929.000000
240.000000	204	615213.000000
241.000000	255	617163.000000
242.000000	222	620748.000000
243.000000	113	621512.000000
244.000000	202	622312.000000
245.000000	203	622829.000000
246.000000	204	623579.000000
247.000000	255	625563.000000
248.000000	222	628967.000000
249.000000	116	629779.000000
250.000000	202	630579.000000
251.000000	203	631179.000000
252.000000	204	631929.000000
253.000000	255	633996.000000
254.000000	211	637784.000000
255.000000	94	638545.000000
256.000000	202	639395.000000
257.000000	203	640062.000000
258.000000	204	640312.000000
259.000000	255	642262.000000
260.000000	222	646135.000000
261.000000	112	647062.000000
262.000000	202	647812.000000
263.000000	203	648379.000000
264.000000	204	648962.000000
265.000000	255	651179.000000
266.000000	221	655345.000000
267.000000	31	656162.000000
268.000000	202	656928.000000
269.000000	203	657645.000000
270.000000	204	657928.000000
271.000000	255	659845.000000
272.000000	212	695343.000000
273.000000	150	696111.000000
274.000000	202	696878.000000
275.000000	203	697478.000000
276.000000	204	698228.000000
277.000000	255	700228.000000
278.000000	212	703876.000000
279.000000	35	704527.000000
280.000000	202	705327.000000
281.000000	203	705843.000000
282.000000	204	706560.000000
283.000000	255	708477.000000
284.000000	221	712210.000000
285.000000	44	712910.000000
286.000000	202	713660.000000
287.000000	203	714226.000000
288.000000	204	714510.000000
289.000000	255	716527.000000
290.000000	211	720304.000000
291.000000	58	721076.000000
292.000000	202	721876.000000
293.000000	203	722510.000000
294.000000	204	722793.000000
295.000000	255	724693.000000
296.000000	222	729692.000000
297.000000	131	730426.000000
298.000000	202	731309.000000
299.000000	203	731793.000000
300.000000	204	732493.000000
301.000000	255	734593.000000
302.000000	222	738228.000000
303.000000	171	738676.000000
304.000000	202	739543.000000
305.000000	203	740143.000000
306.000000	204	740826.000000
307.000000	255	743010.000000
308.000000	221	746359.000000
309.000000	79	746977.000000
310.000000	202	747777.000000
311.000000	203	748327.000000
312.000000	204	748660.000000
313.000000	255	750610.000000
314.000000	222	755308.000000
315.000000	67	755960.000000
316.000000	202	756843.000000
317.000000	203	757360.000000
318.000000	204	757993.000000
319.000000	255	760060.000000
320.000000	212	763247.000000
321.000000	57	763843.000000
322.000000	202	764643.000000
323.000000	203	765177.000000
324.000000	204	765960.000000
325.000000	255	768043.000000
326.000000	212	771474.000000
327.000000	159	772043.000000
328.000000	202	772843.000000
329.000000	203	773360.000000
330.000000	204	774110.000000
331.000000	255	776177.000000
332.000000	212	779338.000000
333.000000	36	779993.000000
334.000000	202	780743.000000
335.000000	203	781343.000000
336.000000	204	782060.000000
337.000000	255	784093.000000
338.000000	222	787591.000000
339.000000	89	788326.000000
340.000000	202	789043.000000
341.000000	203	789609.000000
342.000000	204	790309.000000
343.000000	255	792343.000000
344.000000	212	797341.000000
345.000000	97	798193.000000
346.000000	202	798959.000000
347.000000	203	799509.000000
348.000000	204	800259.000000
349.000000	255	802259.000000
350.000000	212	807248.000000
351.000000	62	807926.000000
352.000000	202	808726.000000
353.000000	203	809176.000000
354.000000	204	809926.000000
355.000000	255	812093.000000
356.000000	222	816104.000000
357.000000	85	816842.000000
358.000000	202	817559.000000
359.000000	203	818109.000000
360.000000	204	818826.000000
361.000000	255	820826.000000
362.000000	212	824426.000000
363.000000	49	825192.000000
364.000000	202	825942.000000
365.000000	203	826542.000000
366.000000	204	827292.000000
367.000000	255	829359.000000
368.000000	221	833088.000000
369.000000	21	833825.000000
370.000000	202	834575.000000
371.000000	203	835175.000000
372.000000	204	835492.000000
373.000000	255	837325.000000
374.000000	222	840420.000000
375.000000	169	841025.000000
376.000000	202	841792.000000
377.000000	203	842308.000000
378.000000	204	843025.000000
379.000000	255	845159.000000
380.000000	222	849464.000000
381.000000	13	850108.000000
382.000000	202	850875.000000
383.000000	203	851475.000000
384.000000	204	852092.000000
385.000000	255	854142.000000
386.000000	221	859130.000000
387.000000	170	859691.000000
388.000000	202	860491.000000
389.000000	203	861141.000000
390.000000	204	861458.000000
391.000000	255	863358.000000
392.000000	222	866531.000000
393.000000	110	867258.000000
394.000000	202	868091.000000
395.000000	203	868608.000000
396.000000	204	869325.000000
397.000000	255	871342.000000
398.000000	211	874936.000000
399.000000	71	875591.000000
400.000000	202	876425.000000
401.000000	203	876991.000000
402.000000	204	877308.000000
403.000000	255	879108.000000
404.000000	211	882819.000000
405.000000	84	883508.000000
406.000000	202	884391.000000
407.000000	203	884908.000000
408.000000	204	885191.000000
409.000000	255	887075.000000
410.000000	211	890470.000000
411.000000	92	891074.000000
412.000000	202	891924.000000
413.000000	203	892441.000000
414.000000	204	892724.000000
415.000000	255	894574.000000
416.000000	211	897755.000000
417.000000	146	898574.000000
418.000000	202	899441.000000
419.000000	203	900091.000000
420.000000	204	900374.000000
421.000000	255	902308.000000
422.000000	221	905468.000000
423.000000	93	906241.000000
424.000000	202	907041.000000
425.000000	203	907591.000000
426.000000	204	907924.000000
427.000000	255	909724.000000
428.000000	211	913088.000000
429.000000	24	913741.000000
430.000000	202	914624.000000
431.000000	203	915257.000000
432.000000	204	915507.000000
433.000000	255	917441.000000
434.000000	212	921027.000000
435.000000	162	921624.000000
436.000000	202	922557.000000
437.000000	203	923024.000000
438.000000	204	923774.000000
439.000000	255	925941.000000
440.000000	212	929407.000000
441.000000	69	930024.000000
442.000000	202	930824.000000
443.000000	203	931340.000000
444.000000	204	932090.000000
445.000000	255	934224.000000
446.000000	212	937842.000000
447.000000	153	938490.000000
448.000000	202	939323.000000
449.000000	203	939840.000000
450.000000	204	940590.000000
451.000000	255	942574.000000
452.000000	211	947562.000000
453.000000	179	948240.000000
454.000000	202	948973.000000
455.000000	203	949607.000000
456.000000	204	949890.000000
457.000000	255	951807.000000
458.000000	211	955319.000000
459.000000	151	956206.000000
460.000000	202	957006.000000
461.000000	203	957573.000000
462.000000	204	957856.000000
463.000000	255	959707.000000
464.000000	221	962762.000000
465.000000	145	963573.000000
466.000000	202	964290.000000
467.000000	203	964923.000000
468.000000	204	965240.000000
469.000000	255	967173.000000
470.000000	221	972174.000000
471.000000	137	972939.000000
472.000000	202	973739.000000
473.000000	203	974339.000000
474.000000	204	974622.000000
475.000000	255	976522.000000
476.000000	212	979611.000000
477.000000	156	980222.000000
478.000000	202	980972.000000
479.000000	203	981538.000000
480.000000	204	982238.000000
481.000000	255	984172.000000
482.000000	211	987540.000000
483.000000	117	988388.000000
484.000000	202	989188.000000
485.000000	203	989655.000000
486.000000	204	989988.000000
487.000000	255	991805.000000
488.000000	221	994993.000000
489.000000	123	995805.000000
490.000000	202	996671.000000
491.000000	203	997321.000000
492.000000	204	997605.000000
493.000000	255	999555.000000
494.000000	221	1002820.000000
495.000000	119	1003638.000000
496.000000	202	1004471.000000
497.000000	203	1004955.000000
498.000000	204	1005238.000000
499.000000	255	1007122.000000
500.000000	211	1010793.000000
501.000000	29	1011555.000000
502.000000	202	1012321.000000
503.000000	203	1012871.000000
504.000000	204	1013154.000000
505.000000	255	1015105.000000
506.000000	221	1018778.000000
507.000000	157	1019221.000000
508.000000	202	1020104.000000
509.000000	203	1020704.000000
510.000000	204	1021071.000000
511.000000	255	1022921.000000
512.000000	222	1026336.000000
513.000000	139	1027154.000000
514.000000	202	1028071.000000
515.000000	203	1028554.000000
516.000000	204	1029221.000000
517.000000	255	1031371.000000
518.000000	222	1034526.000000
519.000000	99	1035337.000000
520.000000	202	1036004.000000
521.000000	203	1036571.000000
522.000000	204	1037287.000000
523.000000	255	1039404.000000
524.000000	221	1042443.000000
525.000000	107	1043255.000000
526.000000	202	1044005.000000
527.000000	203	1044605.000000
528.000000	204	1044888.000000
529.000000	255	1046788.000000
530.000000	222	1050811.000000
531.000000	180	1051488.000000
532.000000	202	1052255.000000
533.000000	203	1052821.000000
534.000000	204	1053438.000000
535.000000	255	1055622.000000
536.000000	211	1060360.000000
537.000000	141	1061121.000000
538.000000	202	1062005.000000
539.000000	203	1062721.000000
540.000000	204	1062971.000000
541.000000	255	1064888.000000
542.000000	222	1099059.000000
543.000000	149	1099821.000000
544.000000	202	1100621.000000
545.000000	203	1101104.000000
546.000000	204	1101771.000000
547.000000	255	1103821.000000
548.000000	211	1107262.000000
549.000000	132	1107987.000000
550.000000	202	1108837.000000
551.000000	203	1109504.000000
552.000000	204	1109754.000000
553.000000	255	1111654.000000
554.000000	211	1115254.000000
555.000000	152	1116104.000000
556.000000	202	1116954.000000
557.000000	203	1117637.000000
558.000000	204	1117904.000000
559.000000	255	1119721.000000
560.000000	221	1124519.000000
561.000000	78	1125137.000000
562.000000	202	1125970.000000
563.000000	203	1126487.000000
564.000000	204	1126854.000000
565.000000	255	1128704.000000
566.000000	222	1131883.000000
567.000000	136	1132737.000000
568.000000	202	1133503.000000
569.000000	203	1133970.000000
570.000000	204	1134653.000000
571.000000	255	1136654.000000
572.000000	221	1141653.000000
573.000000	133	1142437.000000
574.000000	202	1143187.000000
575.000000	203	1143837.000000
576.000000	204	1144153.000000
577.000000	255	1145970.000000
578.000000	222	1149382.000000
579.000000	39	1150120.000000
580.000000	202	1150953.000000
581.000000	203	1151386.000000
582.000000	204	1152070.000000
583.000000	255	1154153.000000
584.000000	222	1158337.000000
585.000000	73	1159070.000000
586.000000	202	1159870.000000
587.000000	203	1160470.000000
588.000000	204	1161136.000000
589.000000	255	1163070.000000
590.000000	212	1168065.000000
591.000000	161	1168603.000000
592.000000	202	1169436.000000
593.000000	203	1169953.000000
594.000000	204	1170703.000000
595.000000	255	1172653.000000
596.000000	222	1176516.000000
597.000000	66	1177086.000000
598.000000	202	1177969.000000
599.000000	203	1178603.000000
600.000000	204	1179203.000000
601.000000	255	1181219.000000
602.000000	221	1184503.000000
603.000000	43	1185186.000000
604.000000	202	1185986.000000
605.000000	203	1186619.000000
606.000000	204	1186936.000000
607.000000	255	1188903.000000
608.000000	211	1191966.000000
609.000000	12	1192586.000000
610.000000	202	1193419.000000
611.000000	203	1194019.000000
612.000000	204	1194386.000000
613.000000	255	1196203.000000
614.000000	221	1199318.000000
615.000000	148	1200052.000000
616.000000	202	1200886.000000
617.000000	203	1201419.000000
618.000000	204	1201686.000000
619.000000	255	1203586.000000
620.000000	221	1206724.000000
621.000000	51	1207452.000000
622.000000	202	1208285.000000
623.000000	203	1208852.000000
624.000000	204	1209169.000000
625.000000	255	1211036.000000
626.000000	222	1214122.000000
627.000000	101	1214919.000000
628.000000	202	1215769.000000
629.000000	203	1216319.000000
630.000000	204	1217002.000000
631.000000	255	1219052.000000
632.000000	212	1222353.000000
633.000000	65	1222952.000000
634.000000	202	1223752.000000
635.000000	203	1224268.000000
636.000000	204	1225018.000000
637.000000	255	1226919.000000
638.000000	221	1230323.000000
639.000000	118	1231135.000000
640.000000	202	1231885.000000
641.000000	203	1232452.000000
642.000000	204	1232735.000000
643.000000	255	1234634.000000
644.000000	222	1238514.000000
645.000000	50	1239134.000000
646.000000	202	1239934.000000
647.000000	203	1240534.000000
648.000000	204	1241201.000000
649.000000	255	1243384.000000
650.000000	211	1246435.000000
651.000000	7	1247234.000000
652.000000	202	1248034.000000
653.000000	203	1248634.000000
654.000000	204	1248950.000000
655.000000	255	1250934.000000
656.000000	222	1254067.000000
657.000000	33	1254767.000000
658.000000	202	1255517.000000
659.000000	203	1256084.000000
660.000000	204	1256750.000000
661.000000	255	1258900.000000
662.000000	212	1262433.000000
663.000000	124	1263283.000000
664.000000	202	1264083.000000
665.000000	203	1264567.000000
666.000000	204	1265317.000000
667.000000	255	1267250.000000
668.000000	221	1270422.000000
669.000000	109	1271150.000000
670.000000	202	1271950.000000
671.000000	203	1272550.000000
672.000000	204	1272900.000000
673.000000	255	1274834.000000
674.000000	221	1278327.000000
675.000000	6	1279133.000000
676.000000	202	1279850.000000
677.000000	203	1280450.000000
678.000000	204	1280733.000000
679.000000	255	1282667.000000
680.000000	222	1285915.000000
681.000000	178	1286566.000000
682.000000	202	1287366.000000
683.000000	203	1287816.000000
684.000000	204	1288516.000000
685.000000	255	1290533.000000
686.000000	212	1293722.000000
687.000000	19	1294366.000000
688.000000	202	1295200.000000
689.000000	203	1295766.000000
690.000000	204	1296516.000000
691.000000	255	1298500.000000
692.000000	211	1303500.000000
693.000000	59	1304233.000000
694.000000	202	1304999.000000
695.000000	203	1305633.000000
696.000000	204	1305883.000000
697.000000	255	1307733.000000
698.000000	212	1310763.000000
699.000000	122	1311583.000000
700.000000	202	1312333.000000
701.000000	203	1312899.000000
702.000000	204	1313599.000000
703.000000	255	1315633.000000
704.000000	222	1320621.000000
705.000000	34	1321349.000000
706.000000	202	1322066.000000
707.000000	203	1322666.000000
708.000000	204	1323382.000000
709.000000	255	1325383.000000
710.000000	211	1330155.000000
711.000000	130	1330916.000000
712.000000	202	1331766.000000
713.000000	203	1332399.000000
714.000000	204	1332682.000000
715.000000	255	1334582.000000
716.000000	211	1337789.000000
717.000000	80	1338349.000000
718.000000	202	1339149.000000
719.000000	203	1339715.000000
720.000000	204	1339999.000000
721.000000	255	1341832.000000
722.000000	211	1345088.000000
723.000000	11	1345815.000000
724.000000	202	1346565.000000
725.000000	203	1347215.000000
726.000000	204	1347499.000000
727.000000	255	1349466.000000
728.000000	212	1352811.000000
729.000000	41	1353465.000000
730.000000	202	1354265.000000
731.000000	203	1354865.000000
732.000000	204	1355565.000000
733.000000	255	1357732.000000
734.000000	221	1362104.000000
735.000000	72	1362748.000000
736.000000	202	1363582.000000
737.000000	203	1364182.000000
738.000000	204	1364515.000000
739.000000	255	1366432.000000
740.000000	211	1369472.000000
741.000000	8	1370165.000000
742.000000	202	1370965.000000
743.000000	203	1371515.000000
744.000000	204	1371765.000000
745.000000	255	1373615.000000
746.000000	221	1378605.000000
747.000000	103	1379283.000000
748.000000	202	1380216.000000
749.000000	203	1380766.000000
750.000000	204	1381082.000000
751.000000	255	1382899.000000
752.000000	212	1385977.000000
753.000000	90	1386582.000000
754.000000	202	1387316.000000
755.000000	203	1387832.000000
756.000000	204	1388616.000000
757.000000	255	1390699.000000
758.000000	212	1394788.000000
759.000000	121	1395599.000000
760.000000	202	1396349.000000
761.000000	203	1396999.000000
762.000000	204	1397749.000000
763.000000	255	1399699.000000
764.000000	221	1404687.000000
765.000000	1	1405215.000000
766.000000	202	1406099.000000
767.000000	203	1406765.000000
768.000000	204	1407049.000000
769.000000	255	1409016.000000
770.000000	222	1412098.000000
771.000000	95	1412865.000000
772.000000	202	1413665.000000
773.000000	203	1414232.000000
774.000000	204	1414782.000000
775.000000	255	1416932.000000
776.000000	221	1420814.000000
777.000000	138	1421715.000000
778.000000	202	1422515.000000
779.000000	203	1423182.000000
780.000000	204	1423465.000000
781.000000	255	1425332.000000
782.000000	212	1430068.000000
783.000000	47	1430782.000000
784.000000	202	1431582.000000
785.000000	203	1432148.000000
786.000000	204	1432898.000000
787.000000	255	1434982.000000
788.000000	212	1439665.000000
789.000000	165	1440281.000000
790.000000	202	1441048.000000
791.000000	203	1441598.000000
792.000000	204	1442348.000000
793.000000	255	1444348.000000
794.000000	212	1448204.000000
795.000000	111	1448815.000000
796.000000	202	1449615.000000
797.000000	203	1450131.000000
798.000000	204	1450881.000000
799.000000	255	1452998.000000
800.000000	211	1456347.000000
801.000000	82	1456914.000000
802.000000	202	1457681.000000
803.000000	203	1458281.000000
804.000000	204	1458514.000000
805.000000	255	1460431.000000
806.000000	211	1465438.000000
807.000000	77	1466131.000000
808.000000	202	1466797.000000
809.000000	203	1467447.000000
810.000000	204	1467730.000000
811.000000	255	1469614.000000
812.000000	222	1503981.000000
813.000000	18	1504746.000000
814.000000	202	1505546.000000
815.000000	203	1506029.000000
816.000000	204	1506613.000000
817.000000	255	1508613.000000
818.000000	222	1511995.000000
819.000000	120	1512896.000000
820.000000	202	1513646.000000
821.000000	203	1514246.000000
822.000000	204	1514879.000000
823.000000	255	1516846.000000
824.000000	222	1521846.000000
825.000000	166	1522462.000000
826.000000	202	1523346.000000
827.000000	203	1523829.000000
828.000000	204	1524496.000000
829.000000	255	1526529.000000
830.000000	211	1530469.000000
831.000000	163	1531112.000000
832.000000	202	1531912.000000
833.000000	203	1532512.000000
834.000000	204	1532829.000000
835.000000	255	1534796.000000
836.000000	221	1538013.000000
837.000000	144	1538779.000000
838.000000	202	1539645.000000
839.000000	203	1540295.000000
840.000000	204	1540612.000000
841.000000	255	1542462.000000
842.000000	221	1545843.000000
843.000000	60	1546579.000000
844.000000	202	1547412.000000
845.000000	203	1547895.000000
846.000000	204	1548179.000000
847.000000	255	1550079.000000
848.000000	212	1553975.000000
849.000000	22	1554595.000000
850.000000	202	1555512.000000
851.000000	203	1556062.000000
852.000000	204	1556812.000000
853.000000	255	1558862.000000
854.000000	222	1563858.000000
855.000000	68	1564462.000000
856.000000	202	1565262.000000
857.000000	203	1565745.000000
858.000000	204	1566412.000000
859.000000	255	1568529.000000
860.000000	212	1573517.000000
861.000000	38	1574078.000000
862.000000	202	1574845.000000
863.000000	203	1575395.000000
864.000000	204	1576112.000000
865.000000	255	1578312.000000
866.000000	221	1581374.000000
867.000000	5	1582061.000000
868.000000	202	1582828.000000
869.000000	203	1583378.000000
870.000000	204	1583661.000000
871.000000	255	1585495.000000
872.000000	221	1590490.000000
873.000000	74	1591178.000000
874.000000	202	1591895.000000
875.000000	203	1592578.000000
876.000000	204	1592861.000000
877.000000	255	1594745.000000
878.000000	222	1599740.000000
879.000000	28	1600428.000000
880.000000	202	1601111.000000
881.000000	203	1601594.000000
882.000000	204	1602261.000000
883.000000	255	1604361.000000
884.000000	212	1609356.000000
885.000000	126	1610161.000000
886.000000	202	1610961.000000
887.000000	203	1611528.000000
888.000000	204	1612278.000000
889.000000	255	1614361.000000
890.000000	221	1617479.000000
891.000000	86	1618128.000000
892.000000	202	1618878.000000
893.000000	203	1619477.000000
894.000000	204	1619794.000000
895.000000	255	1621644.000000
896.000000	222	1626639.000000
897.000000	115	1627377.000000
898.000000	202	1628244.000000
899.000000	203	1628727.000000
900.000000	204	1629444.000000
901.000000	255	1631411.000000
902.000000	221	1636399.000000
903.000000	172	1637077.000000
904.000000	202	1637844.000000
905.000000	203	1638560.000000
906.000000	204	1638844.000000
907.000000	255	1640727.000000
908.000000	211	1643803.000000
909.000000	164	1644410.000000
910.000000	202	1645177.000000
911.000000	203	1645777.000000
912.000000	204	1646010.000000
913.000000	255	1647911.000000
914.000000	211	1652903.000000
915.000000	10	1653627.000000
916.000000	202	1654427.000000
917.000000	203	1655077.000000
918.000000	204	1655344.000000
919.000000	255	1657210.000000
920.000000	212	1662212.000000
921.000000	155	1662860.000000
922.000000	202	1663577.000000
923.000000	203	1664060.000000
924.000000	204	1664810.000000
925.000000	255	1666794.000000
926.000000	222	1671782.000000
927.000000	15	1672393.000000
928.000000	202	1673227.000000
929.000000	203	1673793.000000
930.000000	204	1674460.000000
931.000000	255	1676577.000000
932.000000	211	1679923.000000
933.000000	129	1680693.000000
934.000000	202	1681543.000000
935.000000	203	1682143.000000
936.000000	204	1682460.000000
937.000000	255	1684260.000000
938.000000	212	1687426.000000
939.000000	81	1688126.000000
940.000000	202	1688960.000000
941.000000	203	1689526.000000
942.000000	204	1690275.000000
943.000000	255	1692375.000000
944.000000	211	1697377.000000
945.000000	53	1698025.000000
946.000000	202	1698942.000000
947.000000	203	1699542.000000
948.000000	204	1699775.000000
949.000000	255	1701692.000000
950.000000	211	1706681.000000
951.000000	76	1707325.000000
952.000000	202	1708158.000000
953.000000	203	1708725.000000
954.000000	204	1709008.000000
955.000000	255	1710909.000000
956.000000	222	1714144.000000
957.000000	105	1714942.000000
958.000000	202	1715792.000000
959.000000	203	1716275.000000
960.000000	204	1716975.000000
961.000000	255	1719108.000000
962.000000	211	1724106.000000
963.000000	42	1724758.000000
964.000000	202	1725525.000000
965.000000	203	1726208.000000
966.000000	204	1726475.000000
967.000000	255	1728358.000000
968.000000	221	1731406.000000
969.000000	96	1732108.000000
970.000000	202	1732858.000000
971.000000	203	1733458.000000
972.000000	204	1733708.000000
973.000000	255	1735691.000000
974.000000	212	1740217.000000
975.000000	167	1740908.000000
976.000000	202	1741674.000000
977.000000	203	1742191.000000
978.000000	204	1742891.000000
979.000000	255	1744825.000000
980.000000	212	1749573.000000
981.000000	175	1750274.000000
982.000000	202	1750991.000000
983.000000	203	1751591.000000
984.000000	204	1752341.000000
985.000000	255	1754324.000000
986.000000	221	1758957.000000
987.000000	83	1759524.000000
988.000000	202	1760324.000000
989.000000	203	1760891.000000
990.000000	204	1761207.000000
991.000000	255	1763158.000000
992.000000	212	1767342.000000
993.000000	32	1767824.000000
994.000000	202	1768707.000000
995.000000	203	1769341.000000
996.000000	204	1770091.000000
997.000000	255	1772241.000000
998.000000	221	1775505.000000
999.000000	87	1776007.000000
1000.000000	202	1776957.000000
1001.000000	203	1777557.000000
1002.000000	204	1777841.000000
1003.000000	255	1779791.000000
1004.000000	221	1784113.000000
1005.000000	168	1784790.000000
1006.000000	202	1785524.000000
1007.000000	203	1786157.000000
1008.000000	204	1786440.000000
1009.000000	255	1788357.000000
1010.000000	211	1791492.000000
1011.000000	45	1792140.000000
1012.000000	202	1792890.000000
1013.000000	203	1793457.000000
1014.000000	204	1793774.000000
1015.000000	255	1795824.000000
1016.000000	221	1800824.000000
1017.000000	70	1801440.000000
1018.000000	202	1802208.000000
1019.000000	203	1802841.000000
1020.000000	204	1803124.000000
1021.000000	255	1804991.000000
1022.000000	212	1808524.000000
1023.000000	9	1809258.000000
1024.000000	202	1810108.000000
1025.000000	203	1810541.000000
1026.000000	204	1811258.000000
1027.000000	255	1813408.000000
1028.000000	211	1816547.000000
1029.000000	147	1817274.000000
1030.000000	202	1818024.000000
1031.000000	203	1818674.000000
