number	type	latency
1.000000	Annotation	165100.000000
2.000000	222	292397.000000
3.000000	174	293001.000000
4.000000	202	293768.000000
5.000000	203	294401.000000
6.000000	204	295068.000000
7.000000	255	297202.000000
8.000000	221	301952.000000
9.000000	2	302435.000000
10.000000	202	303268.000000
11.000000	203	303785.000000
12.000000	204	304151.000000
13.000000	255	306018.000000
14.000000	211	309079.000000
15.000000	55	309735.000000
16.000000	202	310534.000000
17.000000	203	311134.000000
18.000000	204	311418.000000
19.000000	255	313285.000000
20.000000	211	317001.000000
21.000000	23	317734.000000
22.000000	202	318534.000000
23.000000	203	319218.000000
24.000000	204	319451.000000
25.000000	255	321318.000000
26.000000	222	326319.000000
27.000000	26	326951.000000
28.000000	202	327717.000000
29.000000	203	328351.000000
30.000000	204	328984.000000
31.000000	255	331251.000000
32.000000	222	334913.000000
33.000000	142	335767.000000
34.000000	202	336567.000000
35.000000	203	337117.000000
36.000000	204	337751.000000
37.000000	255	339717.000000
38.000000	222	343362.000000
39.000000	128	344167.000000
40.000000	202	344967.000000
41.000000	203	345534.000000
42.000000	204	346250.000000
43.000000	255	348301.000000
44.000000	212	351662.000000
45.000000	135	352517.000000
46.000000	202	353267.000000
47.000000	203	353834.000000
48.000000	204	354550.000000
49.000000	255	356651.000000
50.000000	212	360236.000000
51.000000	16	361000.000000
52.000000	202	361800.000000
53.000000	203	362317.000000
54.000000	204	363067.000000
55.000000	255	365134.000000
56.000000	212	368530.000000
57.000000	30	369300.000000
58.000000	202	370183.000000
59.000000	203	370667.000000
60.000000	204	371367.000000
61.000000	255	373500.000000
62.000000	211	376748.000000
63.000000	3	377283.000000
64.000000	202	378083.000000
65.000000	203	378683.000000
66.000000	204	379000.000000
67.000000	255	380867.000000
68.000000	212	384273.000000
69.000000	52	384950.000000
70.000000	202	385716.000000
71.000000	203	386366.000000
72.000000	204	387066.000000
73.000000	255	389300.000000
74.000000	211	392828.000000
75.000000	177	393483.000000
76.000000	202	394366.000000
77.000000	203	394916.000000
78.000000	204	395233.000000
79.000000	255	397116.000000
80.000000	221	400769.000000
81.000000	114	401566.000000
82.000000	202	402366.000000
83.000000	203	403016.000000
84.000000	204	403299.000000
85.000000	255	405216.000000
86.000000	221	408728.000000
87.000000	98	409416.000000
88.000000	202	410267.000000
89.000000	203	410900.000000
90.000000	204	411184.000000
91.000000	255	413151.000000
92.000000	222	416929.000000
93.000000	46	417700.000000
94.000000	202	418500.000000
95.000000	203	418984.000000
96.000000	204	419650.000000
97.000000	255	421666.000000
98.000000	211	425029.000000
99.000000	17	425682.000000
100.000000	202	426516.000000
101.000000	203	427199.000000
102.000000	204	427516.000000
103.000000	255	429416.000000
104.000000	211	432949.000000
105.000000	64	433682.000000
106.000000	202	434449.000000
107.000000	203	435049.000000
108.000000	204	435332.000000
109.000000	255	437249.000000
110.000000	221	440847.000000
111.000000	125	441666.000000
112.000000	202	442466.000000
113.000000	203	443016.000000
114.000000	204	443300.000000
115.000000	255	445183.000000
116.000000	221	449013.000000
117.000000	25	449750.000000
118.000000	202	450549.000000
119.000000	203	451265.000000
120.000000	204	451549.000000
121.000000	255	453582.000000
122.000000	211	457082.000000
123.000000	176	457699.000000
124.000000	202	458465.000000
125.000000	203	459015.000000
126.000000	204	459299.000000
127.000000	255	461215.000000
128.000000	221	464668.000000
129.000000	75	465232.000000
130.000000	202	466032.000000
131.000000	203	466715.000000
132.000000	204	466982.000000
133.000000	255	468915.000000
134.000000	222	472377.000000
135.000000	158	472948.000000
136.000000	202	473748.000000
137.000000	203	474348.000000
138.000000	204	474982.000000
139.000000	255	477148.000000
140.000000	212	480684.000000
141.000000	14	481365.000000
142.000000	202	482131.000000
143.000000	203	482648.000000
144.000000	204	483431.000000
145.000000	255	485465.000000
146.000000	212	488950.000000
147.000000	108	489665.000000
148.000000	202	490348.000000
149.000000	203	490865.000000
150.000000	204	491581.000000
151.000000	255	493548.000000
152.000000	211	496933.000000
153.000000	37	497615.000000
154.000000	202	498531.000000
155.000000	203	499131.000000
156.000000	204	499381.000000
157.000000	255	501298.000000
158.000000	222	504620.000000
159.000000	154	505264.000000
160.000000	202	506064.000000
161.000000	203	506581.000000
162.000000	204	507248.000000
163.000000	255	509365.000000
164.000000	221	513176.000000
165.000000	63	513831.000000
166.000000	202	514631.000000
167.000000	203	515231.000000
168.000000	204	515548.000000
169.000000	255	517448.000000
170.000000	212	520844.000000
171.000000	100	521531.000000
172.000000	202	522331.000000
173.000000	203	522897.000000
174.000000	204	523647.000000
175.000000	255	525864.000000
176.000000	211	530860.000000
177.000000	173	531547.000000
178.000000	202	532431.000000
179.000000	203	533147.000000
180.000000	204	533397.000000
181.000000	255	535331.000000
182.000000	221	538931.000000
183.000000	106	539580.000000
184.000000	202	540464.000000
185.000000	203	541064.000000
