Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
134,F,N,225,R,N,134FN225RN,HRN,0,0,0,213,12.679356300001018,None,1.229,40.697087000000465,41.04442680000102,41.04442680000102,41.34535370000049,41.34535370000049,None,down,2.999764899999718,41.34535370000049,None,41.34535370000049,42.56012120000014,0.06580070000018168,None,,,,,,,,,4,001,2019_Dec_20_1724,untitled,3.1.0,60.16047204291224,
269,_2,M,180,R,N,269_2M180RN,HRN,0,1,1,148,,,1.298,44.49490640000113,44.824182700000165,44.841336299999966,45.12492460000067,45.1432463000001,None,down,2.397165099999256,45.1432463000001,None,45.1432463000001,46.424092200000814,0.07415899999978137,None,,,,,,,,,4,001,2019_Dec_20_1724,untitled,3.1.0,60.16047204291224,
270,_2,M,225,R,N,270_2M225RN,HRN,0,2,2,149,,,1.026,47.655821399999695,47.9550231000012,47.97157530000004,48.255538100000194,48.271861700000954,None,None,,48.271861700000954,None,48.271861700000954,49.28780089999964,0.10445249999975204,None,,,,,,,,,4,001,2019_Dec_20_1724,untitled,3.1.0,60.16047204291224,
_,F,N,90,_,_,_FN090__,N,0,3,3,50,,,1.16,51.820807300000524,52.1512074000002,52.16803869999967,52.45092640000075,52.46762049999961,51.820807300000524,down,2.3330168000011327,52.46762049999961,None,52.46762049999961,53.61691389999942,0.0767199999991135,None,,,,,,,,,4,001,2019_Dec_20_1724,untitled,3.1.0,60.16047204291224,
_,_4,N,270,_,_,__4N270__,N,0,4,4,86,,,1.186,54.91134390000116,55.20128629999999,55.232030200000736,55.51532969999971,55.53209559999959,None,up,2.1498178000001644,55.53209559999959,None,55.53209559999959,56.698843000000124,0.10013749999961874,None,,,,,,,,,4,001,2019_Dec_20_1724,untitled,3.1.0,60.16047204291224,
047,R,M,270,L,N,047RM270LN,HLN,0,5,5,110,,,0.732,57.79339760000039,58.09668749999946,58.11258960000123,58.39633979999962,58.41308410000056,None,down,2.0853950000000623,58.41308410000056,None,58.41308410000056,59.12938380000014,0.09948140000051353,None,,,,,,,,,4,001,2019_Dec_20_1724,untitled,3.1.0,60.16047204291224,
463,_5,M,270,R,N,463_5M270RN,HRN,0,6,6,182,,,0.737,60.61130410000078,60.910317300000315,60.92700010000044,61.21038299999964,61.227383700001155,None,down,2.8666229999998905,61.227383700001155,None,61.227383700001155,61.95881850000114,0.10198489999856974,None,,,,,,,,,4,001,2019_Dec_20_1724,untitled,3.1.0,60.16047204291224,
_,_2,N,270,_,_,__2N270__,N,0,7,7,78,,,1.362,64.21284689999993,64.50744660000055,64.52435900000091,64.80751260000034,64.82429550000052,None,up,2.665006100000028,64.82429550000052,None,64.82429550000052,66.17295600000034,0.10790430000088236,None,,,,,,,,,4,001,2019_Dec_20_1724,untitled,3.1.0,60.16047204291224,
267,_2,M,90,R,N,267_2M090RN,HRN,0,8,8,146,,,1.345,67.58740960000068,67.9037086999997,67.92063980000057,68.20379839999987,68.2208924000006,None,down,2.4169624999994994,68.2208924000006,None,68.2208924000006,69.55230719999963,0.08952450000106182,None,,,,,,,,,4,001,2019_Dec_20_1724,untitled,3.1.0,60.16047204291224,
_,G,M,0,_,_,_GM000__,N,0,9,9,8,,,1.0070000000000001,70.74082679999992,71.05140500000016,71.06834300000082,71.35110200000054,71.36755830000038,None,down,2.250583299999562,71.36755830000038,None,71.36755830000038,72.36640310000075,0.0922467999989749,None,,,,,,,,,4,001,2019_Dec_20_1724,untitled,3.1.0,60.16047204291224,
