Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,key_JUDGE.rt,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
142,F,M,225,R,N,142FM225RN,HRN,0,0,0,117,13.984805115349445,None,0.72,35.651002332018834,35.934261109541694,35.934261109541694,36.08429044188961,36.13429911579078,None,None,36.13429911579078,None,36.13429911579078,36.81753094463056,0.2543409226636868,None,,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
012,R,M,135,R,N,012RM135RN,HRN,0,1,1,99,,,0.848,39.65079905818493,39.98408935308544,40.00075482791726,40.28409769591963,40.31742632813257,39.65079905818493,down,40.31742632813257,None,40.31742632813257,41.13408988278752,0.05752020488944254,None,2.6836254649788316,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
428,_4,M,135,L,N,428_4M135LN,HLN,0,2,2,171,,,0.71,43.06737567520395,43.41736057864546,43.43402340495959,43.71734376055247,43.750677689800796,None,None,43.750677689800796,None,43.750677689800796,44.433953550273145,0.05621580927254399,None,,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
300,_2,M,135,L,N,300_2M135LN,HLN,0,3,3,155,,,1.207,47.267298470876995,47.61723834949589,47.63390647284541,47.91724404380875,47.95060015440686,47.267298470876995,down,47.95060015440686,None,47.95060015440686,49.13389620983435,0.05858722698758356,None,2.9836139439248655,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
_,F,N,90,_,_,_FN090__,N,0,4,4,50,,,1.082,51.01719815821707,51.35049805399831,51.36716650841481,51.6505126870652,51.68385654826125,None,up,51.68385654826125,None,51.68385654826125,52.733822514794156,0.05792708362423582,None,2.7002654478164914,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
204,G,M,135,R,N,204GM135RN,HRN,0,5,5,131,,,0.727,54.46710075893134,54.80040893133264,54.817087648763845,55.100396417081356,55.13374491318609,None,down,55.13374491318609,None,55.13374491318609,55.81707275084409,0.05709842823489453,None,2.1668315369752236,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
266,_2,M,45,R,N,266_2M045RN,HRN,0,6,6,145,,,0.727,57.367045007606066,57.7170593758201,57.73371094592949,58.017027659807354,58.050361257992336,None,down,58.050361257992336,None,58.050361257992336,58.73361758563624,0.05595426802392467,None,3.2002429354070046,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
_,_4,N,315,_,_,__4N315__,N,0,7,7,87,,,0.811,61.3169578713314,61.666942774772906,61.683598648724,61.96693522649366,62.000280080883385,None,up,62.000280080883385,None,62.000280080883385,62.78358289003518,0.05731196507986169,None,2.4001157402817626,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
166,F,N,225,L,N,166FN225LN,HLN,0,8,8,221,,,0.8190000000000001,64.483520252561,64.81685491015378,64.83350846665053,65.1168728538687,65.15020876950803,None,None,65.15020876950803,None,65.15020876950803,65.93351323398747,0.05952778230494005,None,,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
265,_2,M,0,R,N,265_2M000RN,HRN,0,9,9,144,,,0.914,68.66677227635955,69.01676942920312,69.03341801972783,69.31675327323683,69.35006932498436,68.66677227635955,down,69.35006932498436,None,69.35006932498436,70.23340769050264,0.05707359837106196,None,3.2335205836243404,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
041,R,M,0,L,N,041RM000LN,HLN,0,10,10,104,,,0.995,72.6666663356009,73.00000860768341,73.01667010974052,73.30000139047115,73.33333333333212,None,down,73.33333333333212,None,73.33333333333212,74.31661852983234,0.06352936346593197,None,2.2002187676735048,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
_,_2,N,45,_,_,__2N045__,N,0,11,11,73,,,0.909,75.59994352033027,75.94991485011269,75.9665786696205,76.24989538349837,76.28324123108177,None,up,76.28324123108177,None,76.28324123108177,77.16657694808237,0.057951582421083,None,1.8001655986518017,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
036,R,N,135,L,N,036RN135LN,HLN,0,12,12,203,,,0.812,78.16652927474206,78.49984340631272,78.51650954327488,78.79988154498642,78.83321050826271,None,up,78.83321050826271,None,78.83321050826271,79.61651927658022,0.060148197881062515,None,1.6835125718571362,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
_,_4,M,0,_,_,__4M000__,N,0,13,13,32,,,0.874,80.59985181536103,80.93314343451857,80.9498234762068,81.23312827174595,81.26644101284546,None,down,81.26644101284546,None,81.26644101284546,82.11643220651968,0.05857232906782883,None,2.1835801090892346,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
195,G,N,90,R,N,195GN090RN,HRN,0,14,14,226,,,1.352,83.51641585191464,83.86639380299312,83.88304239351783,84.16641075351436,84.19973144017058,None,down,84.19973144017058,None,84.19973144017058,85.51638009690942,0.058141613662883174,None,3.3834545692916436,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
176,F,M,315,L,N,176FM315LN,HLN,0,15,15,127,,,1.3920000000000001,87.64964198644157,87.99965701678593,88.01633407888949,88.29964748211569,88.33298041817397,None,down,88.33298041817397,None,88.33298041817397,89.68291466868686,0.05862331305979751,None,2.10015275333717,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
135,F,N,270,R,N,135FN270RN,HRN,0,16,16,214,,,0.927,90.51626356207271,90.84959027410514,90.86626899153634,91.14956617258213,91.18287725835762,None,up,91.18287725835762,None,91.18287725835762,92.06624475758508,0.06025546290402417,None,1.933518199959508,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
237,G,M,180,L,N,237GM180LN,HLN,0,17,17,140,,,1.296,93.19951293734994,93.53287739078223,93.54951141445417,93.8328281283284,93.86616934100675,None,down,93.86616934100675,None,93.86616934100675,95.1494546037211,0.059259288686007494,None,2.6169595928695344,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
450,_5,N,45,R,N,450_5N045RN,HRN,0,18,18,273,,,1.082,96.54945314703582,96.89945129307307,96.91611643683791,97.19943679243079,97.23275946547437,None,down,97.23275946547437,None,97.23275946547437,98.28273271543367,0.057094124393188395,None,3.216800483089173,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
487,_5,N,270,L,N,487_5N270LN,HLN,0,19,19,286,,,0.856,100.56603684884249,100.86601374051315,100.88268451238764,101.166021752284,101.19935270195128,None,down,101.19935270195128,None,101.19935270195128,102.01599937229912,0.09317158827980165,None,2.216903775333776,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
_,_2,N,0,_,_,__2N000__,N,0,20,20,72,,,0.768,103.49927728537295,103.83258181606288,103.84928933613264,104.13262988668066,104.16591912217336,None,up,104.16591912217336,None,104.16591912217336,104.91591051448631,0.05894643237843411,None,1.850219959505921,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
_,F,M,225,_,_,_FM225__,N,0,21,21,5,,,1.002,106.09924166279234,106.43257598931814,106.44924874757999,106.73252275408595,106.76585204842922,None,down,106.76585204842922,None,106.76585204842922,107.74918061442804,0.05849916372972075,None,3.05014474156269,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
_,_4,N,270,_,_,__4N270__,N,0,22,22,86,,,1.369,109.8824570708166,110.23243535295842,110.24910082779388,110.5324476685746,110.56579616467934,None,up,110.56579616467934,None,110.56579616467934,111.91576782552511,0.057633098014775896,None,3.150284914430813,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
492,_5,M,135,L,N,492_5M135LN,HLN,0,23,23,187,,,0.807,113.78237814494787,114.13237000075242,114.14903481345755,114.43238397169262,114.46571657668028,None,up,114.46571657668028,None,114.46571657668028,115.24901309559937,0.05790556440479122,None,2.0002254551836813,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
044,R,M,135,L,N,044RM135LN,HLN,0,24,24,107,,,1.08,116.54899925708742,116.88229186944227,116.89895502681975,117.18231908297457,117.21565135690253,None,down,117.21565135690253,None,117.21565135690253,118.26560110125138,0.06294867567703477,None,2.650178311541822,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
421,_4,N,180,L,N,421_4N180LN,HLN,0,25,25,268,,,1.1420000000000001,119.94890510223922,120.28222022700356,120.29887974266967,120.58224677840553,120.61557474848814,None,None,120.61557474848814,None,120.61557474848814,121.73220360754567,0.059717151412769454,None,,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
_,_5,M,0,_,_,__5M000__,N,0,26,26,40,,,0.795,124.13214553876605,124.48212481410519,124.49879128213433,124.78211892114996,124.8154502018806,124.13214553876605,down,124.8154502018806,None,124.8154502018806,125.59880498821803,0.05728216924035223,None,2.6834735062038817,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
170,F,M,45,L,N,170FM045LN,HLN,0,27,27,121,,,1.055,127.56543828354552,127.91542749083237,127.93208601330116,128.21541067273574,128.2487210963809,None,down,128.2487210963809,None,128.2487210963809,129.26535876176422,0.0586193402778008,None,2.283650096207566,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
_,_5,M,315,_,_,__5M315__,N,0,28,28,47,,,1.241,130.61535161076245,130.94865084441335,130.96531764350584,131.24860787219222,131.2819782185761,None,down,131.2819782185761,None,131.2819782185761,132.49861548668196,0.059260612946673064,None,3.0834760222969635,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
296,_2,N,315,L,N,296_2N315LN,HLN,0,29,29,255,,,1.082,134.4485952255127,134.7819206132881,134.79859833752198,135.0818630742142,135.11518342980344,None,down,135.11518342980344,None,135.11518342980344,136.16519640754632,0.059584063332295045,None,2.483591762575088,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
_,_2,M,225,_,_,__2M225__,N,0,30,30,29,,,0.906,137.66518283388723,138.01515085302162,138.0318159967901,138.31517508696925,138.34851762390463,None,down,138.34851762390463,None,138.34851762390463,139.23180467437123,0.05635320119836251,None,2.8500911752671527,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
456,_5,N,315,R,N,456_5N315RN,HRN,0,31,31,279,,,0.917,141.26511046310407,141.61503875445123,141.6317058846107,141.91505901562414,141.94840320788353,None,None,141.94840320788353,None,141.94840320788353,142.831720385253,0.05821908284269739,None,,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
141,F,M,180,R,N,141FM180RN,HRN,0,32,32,116,,,0.9390000000000001,145.481656688371,145.81498273827674,145.83163662583684,146.1150102828724,146.14833328698296,145.481656688371,down,146.14833328698296,None,146.14833328698296,147.0649585705396,0.06076861346082296,None,2.0501444104993425,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
_,R,M,135,_,_,_RM135__,N,0,33,33,19,,,0.904,148.2815971629061,148.61491526725513,148.6315804110236,148.9149371837484,148.94827210619405,None,down,148.94827210619405,None,148.94827210619405,149.83158762823587,0.058553789433062775,None,2.6168682189636456,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
206,G,M,225,R,N,206GM225RN,HRN,0,34,34,133,,,0.736,151.63152280573195,151.98151399940616,151.99819470322473,152.28149949876752,152.3148357454702,None,down,152.3148357454702,None,152.3148357454702,153.03148989788315,0.05907554768054979,None,2.6501452050542866,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
_,F,M,90,_,_,_FM090__,N,0,35,35,2,,,0.901,155.04813219817515,155.38145526849985,155.3981257093037,155.68144937554462,155.7147856222473,None,down,155.7147856222473,None,155.7147856222473,156.598086246373,0.06412627344252542,None,2.6167738654730783,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
168,F,N,315,L,N,168FN315LN,HLN,0,36,36,223,,,1.106,158.41471106643803,158.7480513521332,158.76470656395395,159.0480070556514,159.08135621388647,None,up,159.08135621388647,None,159.08135621388647,160.16464849517433,0.060333925277518574,None,2.2835084004400414,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
047,R,M,270,L,N,047RM270LN,HLN,0,37,37,110,,,0.793,161.44799235637402,161.7812859619189,161.7979693142588,162.08130688522215,162.1146394902098,None,down,162.1146394902098,None,162.1146394902098,162.86459545858452,0.0588133442979597,None,3.3167794273649633,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
_,R,N,90,_,_,_RN090__,N,0,38,38,66,,,0.713,165.49786098982804,165.8478783376304,165.8645464609799,166.14786085740343,166.1811881653557,None,None,166.1811881653557,None,166.1811881653557,166.86453023880313,0.057930394272261765,None,,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
260,_2,N,135,R,N,260_2N135RN,HRN,0,39,39,243,,,1.3960000000000001,169.6978135813406,170.04781437589554,170.06446230428992,170.78128331340122,170.78128331340122,169.6978135813406,None,170.78128331340122,None,170.78128331340122,171.76438973486802,0.05850876461045118,None,,,,,,,,,,36,001,2019_Dec_25_1443,untitled,3.1.0,60.009178522645854,
