Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
_,_2,N,90,_,_,__2N090__,N,0,0,0,74,310.0602845000103,None,1.281,323.70838530000765,324.0536445999751,324.0536445999751,324.3534348999965,324.3534348999965,None,up,2.515258700004779,324.3534348999965,None,324.3534348999965,325.63570859999163,0.0670047999592498,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
231,G,N,270,L,N,231GN270LN,HLN,0,1,1,238,,,1.061,326.9839529999881,327.33405000000494,327.3513672000263,327.63414400001056,327.65011679998133,None,None,,327.65011679998133,None,327.65011679998133,328.6995279000257,0.060104799980763346,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
425,_4,M,0,L,N,425_4M000LN,HLN,0,2,2,168,,,1.121,331.1849295999855,331.5309154000133,331.54686549998587,331.830249599996,331.8465336000081,331.1849295999855,up,1.9820690000196919,331.8465336000081,None,331.8465336000081,332.94531649997225,0.06263569998554885,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
_,_2,M,270,_,_,__2M270__,N,0,3,3,30,,,0.937,333.89884979999624,334.2454792999779,334.2621062999824,334.5451503000222,334.56193269998766,None,down,1.9320349000045098,334.56193269998766,None,334.56193269998766,335.4803372999886,0.06269549997523427,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
453,_5,N,180,R,N,453_5N180RN,HRN,0,4,4,276,,,0.766,336.5619986000238,336.9093475000118,336.92601709999144,337.2091084999847,337.22624960000394,None,down,2.4147172000375576,337.22624960000394,None,337.22624960000394,337.9754626000067,0.06132640002761036,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
041,R,M,0,L,N,041RM000LN,HLN,0,5,5,104,,,1.0230000000000001,339.7144537999993,340.05662909999955,340.07386130001396,340.35593770002015,340.3726051999838,None,down,2.348556999990251,340.3726051999838,None,340.3726051999838,341.37299910001457,0.06646390003152192,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
239,G,M,270,L,N,239GM270LN,HLN,0,6,6,142,,,1.02,342.7955011000158,343.1369192000129,343.1532815999817,343.43680079997284,343.4542435000185,None,down,2.897506900015287,343.4542435000185,None,343.4542435000185,344.4525082000182,0.06659449997823685,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
240,G,M,315,L,N,240GM315LN,HLN,0,7,7,143,,,0.847,346.4342900000047,346.76753630000167,346.7840251000016,347.0673806000268,347.0839521000162,None,down,1.9855480000260286,347.0839521000162,None,347.0839521000162,347.91615369997453,0.07352269999682903,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
139,F,M,90,R,N,139FM090RN,HRN,0,8,8,114,,,1.027,349.16494619997684,349.48134080000455,349.4981867999886,349.7811250999803,349.7980878999806,None,down,2.783577400026843,349.7980878999806,None,349.7980878999806,350.81360950000817,0.08533349999925122,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
_,_2,M,45,_,_,__2M045__,N,0,9,9,25,,,1.339,352.6697428000043,352.9948447999777,353.01173289999133,353.2952664999757,353.31177979998756,None,down,3.015508599986788,353.31177979998756,None,353.31177979998756,354.64435000001686,0.07927730004303157,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
171,F,M,90,L,N,171FM090LN,HLN,0,10,10,122,,,1.056,356.419819200004,356.74216199998045,356.7587692000088,357.0419243000215,357.0589833999984,None,down,2.8135064000380225,357.0589833999984,None,357.0589833999984,358.1071596000111,0.08221160003449768,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
168,F,N,315,L,N,168FN315LN,HLN,0,11,11,223,,,0.88,359.94661009998526,360.28904320002766,360.30546020000475,360.5887007000274,360.6054761999985,None,up,1.9503698000335135,360.6054761999985,None,360.6054761999985,361.4705887999735,0.06672810000600293,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
_,_2,M,90,_,_,__2M090__,N,0,12,12,26,,,1.306,362.6576523000258,362.9704780000029,362.9862427000189,363.26948120002635,363.2862397999852,None,down,2.8151243000174873,363.2862397999852,None,363.2862397999852,364.58470120001584,0.09211239998694509,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
420,_4,N,135,L,N,420_4N135LN,HLN,0,13,13,267,,,0.8180000000000001,366.1878909000079,366.5166766999755,366.533690900018,366.8168542999774,366.83365149999736,None,up,3.031731700000819,366.83365149999736,None,366.83365149999736,367.63239320000866,0.07747729995753616,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
_,_4,M,135,_,_,__4M135__,N,0,14,14,35,,,1.236,369.9387967999792,370.27993790002074,370.29631710000103,370.57962700002827,370.5967706000083,None,down,3.398672199982684,370.5967706000083,None,370.5967706000083,371.81220980000217,0.06560719996923581,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
_,F,N,225,_,_,_FN225__,N,0,15,15,53,,,1.084,374.1031009000144,374.41032169997925,374.4266055999906,374.70957569999155,374.72654970001895,None,up,2.6820747000165284,374.72654970001895,None,374.72654970001895,375.791948899976,0.0964368000277318,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
003,R,N,90,R,N,003RN090RN,HRN,0,16,16,194,,,1.089,377.48242590000154,377.82539690000704,377.8432105000247,378.1235917999875,378.13985209999373,None,up,2.415162599994801,378.13985209999373,None,378.13985209999373,379.20549349999055,0.06676339998375624,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
389,_4,N,180,R,N,389_4N180RN,HRN,0,17,17,260,,,1.055,380.6373143999954,380.97121420002077,380.98745860002236,381.27020069997525,381.28689530002885,None,None,,381.28689530002885,None,381.28689530002885,382.31899990001693,0.07347569998819381,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
298,_2,M,45,L,N,298_2M045LN,HLN,0,18,18,153,,,1.203,384.81873749999795,385.1671763000195,385.1842851000256,385.46731749997707,385.4843136999989,384.81873749999795,up,0.2658509000320919,385.4843136999989,None,385.4843136999989,None,0.059995300020091236,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
_,G,M,0,_,_,_GM000__,N,0,19,19,8,,,0.762,385.82572099997196,386.1662013999885,386.18316700001014,386.4661237000255,386.48326549999183,None,down,1.8662072000443004,386.48326549999183,None,386.48326549999183,387.23295059998054,0.06681190000381321,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
303,_2,M,270,L,N,303_2M270LN,HLN,0,20,20,158,,,1.088,388.43503549997695,388.7643484,388.7808199999854,389.06446640001377,389.0812180999783,None,down,2.5661214999854565,389.0812180999783,None,389.0812180999783,390.1463013999746,0.07785309996688738,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
136,F,N,315,R,N,136FN315RN,HRN,0,21,21,215,,,1.016,391.7342532000039,392.06150429998524,392.07790049997857,392.36104079999495,392.3779579999973,None,up,2.016745399974752,392.3779579999973,None,392.3779579999973,393.3760116000194,0.07713330001570284,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
_,_2,M,135,_,_,__2M135__,N,0,22,22,27,,,1.079,394.48174259997904,394.8096686999779,394.82600980001735,395.1083809999982,395.12536310002906,None,down,2.4830955000361428,395.12536310002906,None,395.12536310002906,396.19099009997444,0.07857620000140741,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
461,_5,M,180,R,N,461_5M180RN,HRN,0,23,23,180,,,1.061,397.70196029997896,398.0229596000281,398.0393856000155,398.3224197999807,398.3391163999913,None,up,2.831621700024698,398.3391163999913,None,398.3391163999913,399.3879345000023,0.08296269999118522,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
_,_2,M,180,_,_,__2M180__,N,0,24,24,28,,,1.3900000000000001,401.2498524999828,401.5864511000109,401.602720600029,401.8867224000278,401.9025432000053,None,None,,401.9025432000053,None,401.9025432000053,403.2677022999851,0.07071719999657944,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
_,_5,M,135,_,_,__5M135__,N,0,25,25,43,,,0.858,405.4397864000057,405.7822962999926,405.7991119999788,406.0822190999752,406.09874659997877,405.4397864000057,down,3.181302200013306,406.09874659997877,None,406.09874659997877,406.93134369998006,0.06637449999107048,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
399,_4,M,270,R,N,399_4M270RN,HRN,0,26,26,166,,,0.995,409.34764990000986,409.6958706000005,409.7126768999733,409.9953423999832,410.01192509999964,None,down,2.3834570000180975,410.01192509999964,None,410.01192509999964,410.9946345000062,0.06052609998732805,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
_,_2,N,45,_,_,__2N045__,N,0,27,27,73,,,0.807,412.4626263999962,412.80975610000314,412.8263862999738,413.110266099975,413.1264093000209,None,up,2.082700199971441,413.1264093000209,None,413.1264093000209,413.90854889998445,0.06056019995594397,None,,,,,,,,,35,001,2019_Dec_25_1441,untitled,3.1.0,60.056056316336566,
