Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
165,F,N,180,L,N,165FN180LN,HLN,0,0,0,220,46.51924519997556,None,1.124,105.84091699996497,105.96597989997827,105.96597989997827,106.18219939997653,106.18219939997653,None,up,2.78186149999965,106.18219939997653,None,106.18219939997653,107.29580919997534,0.2108310000039637,None,,,,,,,,,22,001,2019_Dec_25_1121,untitled,3.1.0,60.13974070136788,
269,_2,M,180,R,N,269_2M180RN,HRN,0,1,1,148,,,1.08,109.06661079998594,109.41097299999092,109.42759469995508,109.7111053999979,109.72706009994727,None,down,2.731341600010637,109.72706009994727,None,109.72706009994727,110.79283999995096,0.060866700019687414,None,,,,,,,,,22,001,2019_Dec_25_1121,untitled,3.1.0,60.13974070136788,
_,_2,M,90,_,_,__2M090__,N,0,2,2,26,,,0.885,112.52949159999844,112.87463559996104,112.8924674000009,113.17554589995416,113.19154649996199,None,down,2.4807548000244424,113.19154649996199,None,113.19154649996199,114.05719129997306,0.06307309999829158,None,,,,,,,,,22,001,2019_Dec_25_1121,untitled,3.1.0,60.13974070136788,
174,F,M,225,L,N,174FM225LN,HLN,0,3,3,125,,,0.975,115.74779209995177,116.08890939998673,116.10499029996572,116.38810039998498,116.40447349997703,None,None,,116.40447349997703,None,116.40447349997703,117.35415159998229,0.06836660002591088,None,,,,,,,,,22,001,2019_Dec_25_1121,untitled,3.1.0,60.13974070136788,
200,G,N,315,R,N,200GN315RN,HRN,0,4,4,231,,,1.2530000000000001,119.93930869997712,120.28569859999698,120.30120779998833,120.5843977999757,120.60138699994422,119.93930869997712,None,,120.60138699994422,None,120.60138699994422,121.83350139996037,0.06371049996232614,None,,,,,,,,,22,001,2019_Dec_25_1121,untitled,3.1.0,60.13974070136788,
138,F,M,45,R,N,138FM045RN,HRN,0,5,5,113,,,0.76,124.13654519995907,124.48129579995293,124.48129579995293,124.78050879994407,124.79725939995842,124.13654519995907,down,2.3317598000285216,124.79725939995842,None,124.79725939995842,125.5464278999716,0.06520810001529753,None,,,,,,,,,22,001,2019_Dec_25_1121,untitled,3.1.0,60.13974070136788,
193,G,N,0,R,N,193GN000RN,HRN,0,6,6,224,,,1.149,127.20294209994609,127.54592809994938,127.56160319998162,127.8450562999933,127.86282319994643,None,up,2.1660054000094533,127.86282319994643,None,127.86282319994643,128.9936218999792,0.06626769999274984,None,,,,,,,,,22,001,2019_Dec_25_1121,untitled,3.1.0,60.13974070136788,
298,_2,M,45,L,N,298_2M045LN,HLN,0,7,7,153,,,0.891,130.09979939996265,130.44288209994556,130.4599017999717,130.74218339996878,130.75871859997278,None,down,2.082712500006892,130.75871859997278,None,130.75871859997278,131.6422831999953,0.0637103000190109,None,,,,,,,,,22,001,2019_Dec_25_1121,untitled,3.1.0,60.13974070136788,
_,G,M,315,_,_,_GM315__,N,0,8,8,15,,,1.112,132.92397619999247,133.25672229996417,133.2731872999575,133.55667929997435,133.57470629998716,None,down,2.5468210999970324,133.57470629998716,None,133.57470629998716,134.67216309998184,0.07457050000084564,None,,,,,,,,,22,001,2019_Dec_25_1121,untitled,3.1.0,60.13974070136788,
003,R,N,90,R,N,003RN090RN,HRN,0,9,9,194,,,0.879,136.201331499964,136.53797009994742,136.55493859999115,136.83690169994952,136.8547631999827,None,up,2.0638676999951713,136.8547631999827,None,136.8547631999827,137.7203087999951,0.07216480001807213,None,,,,,,,,,22,001,2019_Dec_25_1121,untitled,3.1.0,60.13974070136788,
