Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,key_JUDGE.rt,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
424,_4,N,315,L,N,424_4N315LN,HLN,0,0,0,271,13.649182700028177,None,0.758,39.51762100000633,39.852710900013335,39.86911919998238,40.15239250002196,40.16894100001082,None,None,40.16894100001082,None,40.16894100001082,40.91838749998715,0.06688870000652969,None,,,,,,,,,,13,001,2019_Dec_25_1004,untitled,3.1.0,60.163874355073155,
034,R,N,45,L,N,034RN045LN,HLN,0,1,1,201,,,0.922,43.74821669998346,44.082118200021796,44.099751300003845,44.381734499998856,44.39885260001756,43.74821669998346,None,44.39885260001756,None,44.39885260001756,45.314834200020414,0.06967609998537228,None,,,,,,,,,,13,001,2019_Dec_25_1004,untitled,3.1.0,60.163874355073155,
_,_5,N,180,_,_,__5N180__,N,0,2,2,92,,,0.735,47.931992100027855,48.27837810001802,48.29537420003908,48.578509900020435,48.5947742999997,47.931992100027855,down,48.5947742999997,None,48.5947742999997,49.311070499999914,0.06225070002255961,None,2.7834936000290327,,,,,,,,,13,001,2019_Dec_25_1004,untitled,3.1.0,60.163874355073155,
_,_5,N,225,_,_,__5N225__,N,0,3,3,93,,,0.979,51.447550699987914,51.792423799983226,51.809152200003155,52.09239840001101,52.10879989998648,None,down,52.10879989998648,None,52.10879989998648,53.07455010002013,0.06270509999012575,None,2.9807782999705523,,,,,,,,,13,001,2019_Dec_25_1004,untitled,3.1.0,60.163874355073155,
131,F,N,90,R,N,131FN090RN,HRN,0,4,4,210,,,1.365,55.162617499998305,55.50596730003599,55.5226779000368,55.806664300034754,55.822277800005395,None,None,55.822277800005395,None,55.822277800005395,57.170629300002474,0.06554370000958443,None,,,,,,,,,,13,001,2019_Dec_25_1004,untitled,3.1.0,60.163874355073155,
_,_5,M,0,_,_,__5M000__,N,0,5,5,40,,,1.341,59.35639120003907,59.70179580000695,59.719576800009236,60.00173309998354,60.01863599999342,59.35639120003907,None,60.01863599999342,None,60.01863599999342,61.33401089999825,0.06301230000099167,None,,,,,,,,,,13,001,2019_Dec_25_1004,untitled,3.1.0,60.163874355073155,
300,_2,M,135,L,N,300_2M135LN,HLN,0,6,6,155,,,1.175,63.55061249999562,63.899684600008186,63.91582819999894,64.19816540001193,64.21466410002904,63.55061249999562,down,64.21466410002904,None,64.21466410002904,None,0.061016299994662404,None,0.017461900017224252,,,,,,,,,13,001,2019_Dec_25_1004,untitled,3.1.0,60.163874355073155,
_,R,N,180,_,_,_RN180__,N,0,7,7,68,,,0.742,64.30433290003566,64.64911759999814,64.66495110001415,64.94825640000636,64.96502030000556,None,up,64.96502030000556,None,64.96502030000556,65.68137300002854,0.06411049998132512,None,2.3662642000126652,,,,,,,,,13,001,2019_Dec_25_1004,untitled,3.1.0,60.163874355073155,
459,_5,M,90,R,N,459_5M090RN,HRN,0,8,8,178,,,1.194,67.39858300000196,67.74502219998976,67.76125540002249,68.04530830000294,68.06139029999031,None,down,68.06139029999031,None,68.06139029999031,69.24385209998582,0.06072830001357943,None,2.650302800000645,,,,,,,,,13,001,2019_Dec_25_1004,untitled,3.1.0,60.163874355073155,
290,_2,N,45,L,N,290_2N045LN,HLN,0,9,9,249,,,1.115,70.78006409999216,71.12578460003715,71.1425137000042,71.42497150000418,71.44234469998628,None,down,71.44234469998628,None,71.44234469998628,72.54086050001206,0.06181249994551763,None,2.5156870000064373,,,,,,,,,13,001,2019_Dec_25_1004,untitled,3.1.0,60.163874355073155,
