Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
39,R,N,270,L,N,039RN270LN,HLN,0,20,20,206,,,1.206,919.7102567,920.0109007,920.0109007,920.2107741,920.2268464,None,up,2.2036098,920.2268464,None,920.2268464,921.4259958,0.200803,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
199,G,N,270,R,N,199GN270RN,HRN,0,21,21,230,,,1.188,922.5541013,922.8433775,922.8433775,923.1411966,923.1576266,None,up,2.08611,923.1576266,None,923.1576266,924.339933,0.1128792,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
421,_4,N,180,L,N,421_4N180LN,HLN,0,22,22,268,,,0.842,925.3592407,925.6551593,925.6719223,925.9552418,925.9719535,None,up,2.0845883,925.9719535,None,925.9719535,926.8051116,0.104319,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,_5,M,180,_,_,__5M180__,N,0,23,23,44,,,1.163,928.1877385,928.4690931,928.4856402,928.7687588,928.7854616,None,None,,928.7854616,None,928.7854616,929.9345502,0.0996621,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,_2,M,0,_,_,__2M000__,N,0,24,24,24,,,1.367,932.3698427,932.6661565,932.6822872,932.9658692,932.9829712,932.3698427,down,2.4975795,932.9829712,None,932.9829712,934.331527,0.1104969,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,G,N,315,_,_,_GN315__,N,0,25,25,63,,,0.777,935.7004703,935.9963528,935.9963528,936.1961632,936.2129265,None,up,2.418466,936.2129265,None,936.2129265,936.9780798,0.212822,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
464,_5,M,315,R,N,464_5M315RN,HRN,0,26,26,183,,,1.147,938.8409296,939.1433217,939.1433217,939.3430466,939.3595378,None,down,2.201028,939.3595378,None,939.3595378,940.4926691,0.1984749,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
194,G,N,45,R,N,194GN045RN,HRN,0,27,27,225,,,0.835,941.6845096,941.9741473,941.991057,942.274264,942.2921116,None,up,2.016601,942.2921116,None,942.2921116,943.1070457,0.1114062,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
130,F,N,45,R,N,130FN045RN,HRN,0,28,28,209,,,0.7,944.4272619,944.7214436,944.738125,945.0219321,945.0386208,None,up,1.598863,945.0386208,None,945.0386208,945.7209348,0.1071525,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,F,N,45,_,_,_FN045__,N,0,29,29,49,,,1.219,946.8023365,947.1030344,947.1030344,947.3537809,947.3710228,None,up,1.7988161,947.3710228,None,947.3710228,948.5679543,0.1570091,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,_4,M,315,_,_,__4M315__,N,0,30,30,39,,,0.955,949.2860679,949.5842363,949.6007021,949.8844045,949.9009598,None,down,2.0667019,949.9009598,None,949.9009598,950.8501643,0.1045249,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
