Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,key_JUDGE.rt,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
004,R,N,135,R,N,004RN135RN,HRN,0,0,0,195,260.96951799991075,None,1.0130000000000001,308.98379429988563,308.98379429988563,308.98379429988563,309.1421742999228,309.1421742999228,None,None,309.1421742999228,None,309.1421742999228,310.07073069992475,0.497995899990201,None,,,,,,,,,,46,001,2020_Jan_03_1251,untitled,3.1.0,59.91360457997532,
_,F,M,90,_,_,_FM090__,N,0,1,1,2,,,1.188,312.9005724999588,313.2014083999675,313.2014083999675,313.25166289997287,313.268731799908,312.9005724999588,None,313.268731799908,None,313.268731799908,314.44980849989224,0.34447880007792264,None,,,,,,,,,,46,001,2020_Jan_03_1251,untitled,3.1.0,59.91360457997532,
259,_2,N,90,R,N,259_2N090RN,HRN,0,2,2,242,,,1.05,317.1347334999591,317.43071269989014,317.43071269989014,317.4644102999009,317.48080779996235,317.1347334999591,up,317.48080779996235,None,317.48080779996235,318.514157999889,0.3691042000427842,None,2.583833900047466,,,,,,,,,46,001,2020_Jan_03_1251,untitled,3.1.0,59.91360457997532,
008,R,N,315,R,N,008RN315RN,HRN,0,3,3,199,,,1.057,320.3378550999332,320.627978399978,320.627978399978,320.77798319992144,320.79485289996956,None,up,320.79485289996956,None,320.79485289996956,321.84452990000136,0.25793860002886504,None,2.94907139998395,,,,,,,,,46,001,2020_Jan_03_1251,untitled,3.1.0,59.91360457997532,
303,_2,M,270,L,N,303_2M270LN,HLN,0,4,4,158,,,1.04,323.99615359993186,324.2914338998962,324.2914338998962,324.458081599907,324.4746599999489,None,None,324.4746599999489,None,324.4746599999489,325.50692639988847,0.23692940000910312,None,,,,,,,,,,46,001,2020_Jan_03_1251,untitled,3.1.0,59.91360457997532,
_,_4,N,270,_,_,__4N270__,N,0,5,5,86,,,1.375,328.31369879993144,328.6045504999347,328.6045504999347,328.67122259992175,328.6899854999501,328.31369879993144,up,328.6899854999501,None,328.6899854999501,330.0542498999275,0.34133319999091327,None,3.21558429999277,,,,,,,,,46,001,2020_Jan_03_1251,untitled,3.1.0,59.91360457997532,
483,_5,N,90,L,N,483_5N090LN,HLN,0,6,6,282,,,0.705,332.29053809994366,332.5854453999782,332.5854453999782,332.63401309994515,332.6506549998885,None,up,332.6506549998885,None,332.6506549998885,333.3336156998994,0.3643178000347689,None,1.915619399980642,,,,,,,,,46,001,2020_Jan_03_1251,untitled,3.1.0,59.91360457997532,
_,F,N,270,_,_,_FN270__,N,0,7,7,54,,,1.316,334.8871978999814,335.1818304999033,335.1818304999033,335.28165789996274,335.29848409991246,None,up,335.29848409991246,None,335.29848409991246,336.597415599972,0.3085888000205159,None,2.500432299915701,,,,,,,,,46,001,2020_Jan_03_1251,untitled,3.1.0,59.91360457997532,
_,G,M,0,_,_,_GM000__,N,0,8,8,8,,,1.073,338.18040759989526,338.4790290999226,338.4790290999226,338.51244409999344,338.52937509992626,None,down,338.52937509992626,None,338.52937509992626,339.59508119989187,0.36818510002922267,None,2.1834295000880957,,,,,,,,,46,001,2020_Jan_03_1251,untitled,3.1.0,59.91360457997532,
236,G,M,135,L,N,236GM135LN,HLN,0,9,9,139,,,0.88,340.93444349989295,341.2266785999527,341.2266785999527,341.4264478998957,341.44316279992927,None,down,341.44316279992927,None,341.44316279992927,342.3100562999025,0.20821559999603778,None,3.3155392000917345,,,,,,,,,46,001,2020_Jan_03_1251,untitled,3.1.0,59.91360457997532,
