Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
042,R,M,45,L,N,042RM045LN,HLN,0,0,0,105,15.023873400001321,None,1.042,63.715009499981534,63.9491330999881,63.9491330999881,64.19819309999002,64.21485200000461,None,down,2.4181162000168115,64.21485200000461,None,64.21485200000461,65.24713109998265,0.1610889000003226,None,,,,,,,,,25,001,2019_Dec_25_1139,untitled,3.1.0,59.91837917622173,
_,_5,N,315,_,_,__5N315__,N,0,1,1,95,,,0.998,66.74010299996007,67.07916449999902,67.09578839997994,67.37895079998998,67.39593669999158,None,None,,67.39593669999158,None,67.39593669999158,68.37758420000318,0.06517300003906712,None,,,,,,,,,25,001,2019_Dec_25_1139,untitled,3.1.0,59.91837917622173,
_,F,N,225,_,_,_FN225__,N,0,2,2,53,,,1.035,70.94282719999319,71.27519669994945,71.29180349997478,71.57517199998256,71.5917057999759,70.94282719999319,up,2.434145200008061,71.5917057999759,None,71.5917057999759,72.60729759995593,0.07631870004115626,None,,,,,,,,,25,001,2019_Dec_25_1139,untitled,3.1.0,59.91837917622173,
037,R,N,180,L,N,037RN180LN,HLN,0,3,3,204,,,1.377,74.09812509996118,74.43903619999764,74.45593019999797,74.73922769998899,74.75586949998979,None,up,3.3984228000044823,74.75586949998979,None,74.75586949998979,76.12778389995219,0.065535000001546,None,,,,,,,,,25,001,2019_Dec_25_1139,untitled,3.1.0,59.91837917622173,
_,_2,N,45,_,_,__2N045__,N,0,4,4,73,,,0.988,78.25745139998617,78.56917649996467,78.58549669996137,78.86896189994877,78.88546679995488,None,up,2.317362800007686,78.88546679995488,None,78.88546679995488,79.85113289998844,0.09327410004334524,None,,,,,,,,,25,001,2019_Dec_25_1139,untitled,3.1.0,59.91837917622173,
302,_2,M,225,L,N,302_2M225LN,HLN,0,5,5,157,,,0.797,81.27556799998274,81.61645679996582,81.63312119996408,81.91610390000278,81.93267389998073,None,up,2.5812038999865763,81.93267389998073,None,81.93267389998073,82.71578209998552,0.06483769998885691,None,,,,,,,,,25,001,2019_Dec_25_1139,untitled,3.1.0,59.91837917622173,
_,_2,M,45,_,_,__2M045__,N,0,6,6,25,,,1.052,84.58347219997086,84.93028149998281,84.94678719999501,85.23065719997976,85.24648329999764,None,down,3.214812599995639,85.24648329999764,None,85.24648329999764,86.27906679996522,0.062459299981128424,None,,,,,,,,,25,001,2019_Dec_25_1139,untitled,3.1.0,59.91837917622173,
271,_2,M,270,R,N,271_2M270RN,HRN,0,7,7,150,,,1.2770000000000001,88.54057789995568,88.8767750999541,88.89307659998303,89.17690729995957,89.1928775999695,None,down,3.197766999946907,89.1928775999695,None,89.1928775999695,90.45897529996,0.0716526000178419,None,,,,,,,,,25,001,2019_Dec_25_1139,untitled,3.1.0,59.91837917622173,
_,_4,M,270,_,_,__4M270__,N,0,8,8,38,,,1.0030000000000001,92.46052849997068,92.80639749998227,92.82314860000042,93.10629389999667,93.12473759998102,None,down,2.480309100006707,93.12473759998102,None,93.12473759998102,94.10512069996912,0.06204230000730604,None,,,,,,,,,25,001,2019_Dec_25_1139,untitled,3.1.0,59.91837917622173,
034,R,N,45,L,N,034RN045LN,HLN,0,9,9,201,,,1.096,95.67490379995434,96.02090619999217,96.03739779995522,96.32007049996173,96.33668939996278,None,up,2.2984242999809794,96.33668939996278,None,96.33668939996278,97.41927959996974,0.06284430000232533,None,,,,,,,,,25,001,2019_Dec_25_1139,untitled,3.1.0,59.91837917622173,
