Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,key_JUDGE.rt,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
482,_5,N,45,L,N,482_5N045LN,HLN,0,0,0,281,101.09782310004812,None,0.748,147.20632860000478,147.54315990000032,147.55990490003023,147.84297860000515,147.8600117000169,None,None,147.8600117000169,None,147.8600117000169,148.59229270002106,0.06525729998247698,None,,,,,,,,,,23,001,2019_Dec_25_1215,untitled,3.1.0,59.512084238260485,
461,_5,M,180,R,N,461_5M180RN,HRN,0,1,1,180,,,0.8260000000000001,151.4277970000403,151.77272410003934,151.7892519000452,152.07301300001564,152.08881280000787,151.4277970000403,up,152.08881280000787,None,152.08881280000787,152.90527760004625,0.0609606999787502,None,3.215362599992659,,,,,,,,,23,001,2019_Dec_25_1215,untitled,3.1.0,59.512084238260485,
_,_4,M,270,_,_,__4M270__,N,0,2,2,38,,,1.346,155.38146340003004,155.71968640002888,155.73606600001222,156.01969120005378,156.03589950001333,None,down,156.03589950001333,None,156.03589950001333,157.3687075000489,0.06532430002698675,None,2.7817277999711223,,,,,,,,,23,001,2019_Dec_25_1215,untitled,3.1.0,59.512084238260485,
001,R,N,0,R,N,001RN000RN,HRN,0,3,3,192,,,1.2670000000000001,158.88866039999994,159.233094300027,159.2508517000242,159.5341149000451,159.5494607000146,None,up,159.5494607000146,None,159.5494607000146,160.7981736000511,0.06373789999634027,None,2.4481665999628603,,,,,,,,,23,001,2019_Dec_25_1215,untitled,3.1.0,59.512084238260485,
167,F,N,270,L,N,167FN270LN,HLN,0,4,4,222,,,1.118,162.06813990004594,162.41449750005268,162.43013320001774,162.71319400001084,162.7298649000004,None,up,162.7298649000004,None,162.7298649000004,163.82894249999663,0.06325980002293363,None,2.8499817000119947,,,,,,,,,23,001,2019_Dec_25_1215,untitled,3.1.0,59.512084238260485,
_,_4,M,0,_,_,__4M000__,N,0,5,5,32,,,1.311,165.6487984000123,165.9941254000296,166.01062790001743,166.29380280000623,166.31022030004533,None,down,166.31022030004533,None,166.31022030004533,167.60896189999767,0.06199160002870485,None,2.8476675000274554,,,,,,,,,23,001,2019_Dec_25_1215,untitled,3.1.0,59.512084238260485,
_,_2,N,270,_,_,__2N270__,N,0,6,6,78,,,1.073,169.2278634000104,169.574119900004,169.5909772000159,169.8740577000426,169.89058480004314,None,up,169.89058480004314,None,169.89058480004314,170.94067130004987,0.06254859996261075,None,2.183799199992791,,,,,,,,,23,001,2019_Dec_25_1215,untitled,3.1.0,59.512084238260485,
_,G,N,90,_,_,_GN090__,N,0,7,7,58,,,0.855,172.15814450004837,172.48789250000846,172.50459720002254,172.78787630004808,172.804456700047,None,down,172.804456700047,None,172.804456700047,173.6368212000234,0.0758468999993056,None,3.2148325000307523,,,,,,,,,23,001,2019_Dec_25_1215,untitled,3.1.0,59.512084238260485,
141,F,M,180,R,N,141FM180RN,HRN,0,8,8,116,,,1.2610000000000001,176.0975119000068,176.43479080003453,176.45158600003924,176.73463730001822,176.75219650001964,None,up,176.75219650001964,None,176.75219650001964,178.00099100003717,0.06931789999362081,None,2.7469665000098757,,,,,,,,,23,001,2019_Dec_25_1215,untitled,3.1.0,59.512084238260485,
265,_2,M,0,R,N,265_2M000RN,HRN,0,9,9,144,,,0.921,179.5732581000193,179.9152084000525,179.9318809999968,180.21497040003305,180.2325569000095,None,down,180.2325569000095,None,180.2325569000095,181.1303126999992,0.06725520000327379,None,2.581212699995376,,,,,,,,,23,001,2019_Dec_25_1215,untitled,3.1.0,59.512084238260485,
_,_4,N,225,_,_,__4N225__,N,0,10,10,85,,,0.779,182.883029300021,183.22971060004784,183.2454169000266,183.52881630003685,183.54661840002518,None,up,183.54661840002518,None,183.54661840002518,184.31132580002304,0.06199169997125864,None,2.2151237000362016,,,,,,,,,23,001,2019_Dec_25_1215,untitled,3.1.0,59.512084238260485,
