Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,key_JUDGE.rt,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
425,_4,M,0,L,N,425_4M000LN,HLN,0,17,17,168,,,1.243,105.91684940003324,106.26328260003356,106.28231800004141,106.56488120002905,106.58001130004413,None,up,106.58001130004413,None,106.58001130004413,107.8119329000474,0.06314209999982268,None,2.015642700018361,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
430,_4,M,225,L,N,430_4M225LN,HLN,0,18,18,173,,,0.81,108.66525080002612,109.01208220003173,109.02893110003788,109.3102646000334,109.32716510002501,None,down,109.32716510002501,None,109.32716510002501,110.12617900001351,0.06279629998607561,None,1.966634099953808,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
_,_4,N,90,_,_,__4N090__,N,0,19,19,82,,,1.28,111.36256590002449,111.70811990002403,111.7250857000472,112.0079781000386,112.02472909999778,None,up,112.02472909999778,None,112.02472909999778,113.29181550000794,0.06075770000461489,None,2.1657999000162818,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
_,F,N,90,_,_,_FN090__,N,0,20,20,50,,,1.22,114.26309480000054,114.6059844000265,114.62245970004005,114.9055688000517,114.92220810003346,None,up,114.92220810003346,None,114.92220810003346,116.12136190000456,0.06587190000573173,None,2.514698600047268,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
_,_5,M,90,_,_,__5M090__,N,0,21,21,42,,,0.904,117.50587280001491,117.85304120002547,117.8696278000134,118.15296010003658,118.16950350004481,None,up,118.16950350004481,None,118.16950350004481,119.05175100004999,0.062105300021357834,None,2.84859960002359,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
004,R,N,135,R,N,004RN135RN,HRN,0,22,22,195,,,1.366,121.1099781000521,121.43327680003131,121.4497683000518,121.73312290001195,121.75011790002463,None,None,121.75011790002463,None,121.75011790002463,123.09850420005387,0.08324880001600832,None,,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
_,_2,N,270,_,_,__2N270__,N,0,23,23,78,,,1.151,125.28373260004446,125.62953440001002,125.64609730005031,125.92915050004376,125.9459112000186,125.28373260004446,up,125.9459112000186,None,125.9459112000186,127.07940750004491,0.060272400034591556,None,2.615650700055994,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
_,_2,N,180,_,_,__2N180__,N,0,24,24,76,,,0.966,128.62971130001824,128.97679130005417,128.9934744000202,129.27684639999643,129.29282990004867,None,up,129.29282990004867,None,129.29282990004867,130.24227180000162,0.061636699945665896,None,2.364598800020758,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
303,_2,M,270,L,N,303_2M270LN,HLN,0,25,25,158,,,1.313,131.72899810003582,132.07373140001437,132.0904223000398,132.37351710000075,132.39167340000859,None,None,132.39167340000859,None,132.39167340000859,133.6897662000265,0.06375470000784844,None,,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
_,F,N,270,_,_,_FN270__,N,0,26,26,54,,,0.705,135.9332631000434,136.270217900048,136.28705590002937,136.57009819999803,136.5870262000244,135.9332631000434,up,136.5870262000244,None,136.5870262000244,137.26926980004646,0.07078740000724792,None,1.9664583000121638,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
167,F,N,270,L,N,167FN270LN,HLN,0,27,27,222,,,0.861,138.6365119999973,138.96876479999628,138.984648200043,139.26875550003024,139.28565030003665,None,down,139.28565030003665,None,139.28565030003665,140.13314620003803,0.07457270001759753,None,1.7969845000188798,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
270,_2,M,225,R,N,270_2M225RN,HRN,0,28,28,149,,,1.327,141.15344990004087,141.49898390000453,141.51555710000684,141.79864940000698,141.8155558000435,None,down,141.8155558000435,None,141.8155558000435,143.1305034000543,0.06289729999843985,None,2.9313495000242256,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
037,R,N,180,L,N,037RN180LN,HLN,0,29,29,204,,,1.2750000000000001,144.81577410001773,145.16247100004693,145.17915989999892,145.4620855000103,145.47894120001,None,up,145.47894120001,None,145.47894120001,146.72853770002257,0.06199060002109036,None,3.2998851999873295,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
194,G,N,45,R,N,194GN045RN,HRN,0,30,30,225,,,1.283,148.8476956000086,149.19395620003343,149.2088972000056,149.4918310000212,149.50838110002223,None,up,149.50838110002223,None,149.50838110002223,150.77394610003103,0.061995500000193715,None,3.3658841000287794,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
001,R,N,0,R,N,001RN000RN,HRN,0,31,31,192,,,0.926,152.94372720003594,153.28888520004693,153.30562220001593,153.58861780003645,153.6052046000259,None,up,153.6052046000259,None,153.6052046000259,154.5213330000406,0.062491999997291714,None,1.767839299980551,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
046,R,M,225,L,N,046RM225LN,HLN,0,32,32,109,,,1.004,155.45998310000869,155.78637450002134,155.80296610004734,156.0861383000156,156.10276290000184,None,down,156.10276290000184,None,156.10276290000184,157.08533820003504,0.07926180004142225,None,3.017168899998069,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
_,_4,N,225,_,_,__4N225__,N,0,33,33,85,,,0.925,159.19144710002,159.53371390001848,159.54991880001035,159.83336700004293,159.8492399000097,None,up,159.8492399000097,None,159.8492399000097,160.76561719999881,0.0627717999741435,None,1.8835252999560907,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
141,F,M,180,R,N,141FM180RN,HRN,0,34,34,116,,,0.9530000000000001,161.80209650000324,162.14708970003994,162.1639650000143,162.4477797000436,162.4648298000102,None,down,162.4648298000102,None,162.4648298000102,163.39641640003538,0.06276030000299215,None,3.063871099962853,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
_,_5,M,315,_,_,__5M315__,N,0,35,35,47,,,0.921,165.61241070000688,165.9442781000398,165.96086590003688,166.24418650002917,166.26082520000637,None,down,166.26082520000637,None,166.26082520000637,167.1595912000048,0.07589380000717938,None,3.332332400023006,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
_,_4,N,0,_,_,__4N000__,N,0,36,36,80,,,1.23,169.6790456000017,170.007141900016,170.02383499999996,170.30750770005397,170.3237546000164,None,up,170.3237546000164,None,170.3237546000164,171.5393347000354,0.07773149997228757,None,2.1982444999739528,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
428,_4,M,135,L,N,428_4M135LN,HLN,0,37,37,171,,,1.065,172.5959166000248,172.9380441000103,172.95464640000137,173.23909360001562,173.25442690000637,None,down,173.25442690000637,None,173.25442690000637,174.3036601000349,0.06733549997443333,None,2.5661804000264965,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
490,_5,M,45,L,N,490_5M045LN,HLN,0,38,38,185,,,1.316,175.88895900000352,176.23545120004565,176.2521014000522,176.53532610001275,176.55178310000338,None,down,176.55178310000338,None,176.55178310000338,177.85046770004556,0.061580700043123215,None,2.883301499998197,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
481,_5,N,0,L,N,481_5N000LN,HLN,0,39,39,280,,,0.917,179.5093281000154,179.84870600001886,179.8654864000273,180.14890100003686,180.165778900031,None,up,180.165778900031,None,180.165778900031,181.0643605000223,0.0675399000174366,None,2.4324158999952488,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
258,_2,N,45,R,N,258_2N045RN,HRN,0,40,40,241,,,0.892,182.68841170001542,183.0124471000163,183.02883419999853,183.31265040003927,183.32906610000646,None,up,183.32906610000646,None,183.32906610000646,184.21136730001308,0.07924569997703657,None,2.7017372000264004,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
