Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,key_JUDGE.rt,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
293,_2,N,180,L,N,293_2N180LN,HLN,0,89,89,252,,,0.872,327.161738,327.4532401,327.4532401,327.586894,327.6033978,None,up,327.6033978,None,327.6033978,328.4522726,0.2785951,None,1.7991555,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,R,M,180,_,_,_RM180__,N,0,90,90,20,,,1.012,329.6264674,329.9175495,329.9175495,330.1178457,330.1340662,None,up,330.1340662,None,330.1340662,331.1333989,0.2105202,None,1.8005354,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
453,_5,N,180,R,N,453_5N180RN,HRN,0,91,91,276,,,1.374,332.1339271,332.4320741,332.4320741,332.6487106,332.6663554,None,up,332.6663554,None,332.6663554,334.03147,0.1849108,None,2.2828524,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
455,_5,N,270,R,N,455_5N270RN,HRN,0,92,92,278,,,1.031,335.1758991,335.4648373,335.4648373,335.6631208,335.6801193,None,up,335.6801193,None,335.6801193,336.695335,0.2100621,None,1.6497893,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
136,F,N,315,R,N,136FN315RN,HRN,0,93,93,215,,,1.062,337.6165982,337.910782,337.910782,338.0441784,338.06126,None,up,338.06126,None,338.06126,339.1008195,0.271658,None,1.7320514,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_2,N,90,_,_,__2N090__,N,0,94,94,74,,,1.301,339.9888773,340.277014,340.277014,340.5081918,340.5253904,None,down,340.5253904,None,340.5253904,341.8070517,0.182891,None,2.581839,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,G,M,180,_,_,_GM180__,N,0,95,95,12,,,1.391,343.3009236,343.590078,343.590078,343.8219893,343.8386632,None,up,343.8386632,None,343.8386632,345.2210736,0.1815147,None,3.2816148,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
272,_2,M,315,R,N,272_2M315RN,HRN,0,96,96,151,,,0.706,347.343272,347.6353545,347.6353545,347.8350888,347.8519636,None,down,347.8519636,None,347.8519636,348.5351891,0.2111121,None,1.7004984,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
451,_5,N,90,R,N,451_5N090RN,HRN,0,97,97,274,,,0.934,349.8729556,350.1665702,350.1665702,350.2664815,350.2830669,None,up,350.2830669,None,350.2830669,351.1998129,0.3069475,None,2.4511948,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
290,_2,N,45,L,N,290_2N045LN,HLN,0,98,98,249,,,0.85,352.9966974,353.297107,353.297107,353.4469738,353.4637122,None,up,353.4637122,None,353.4637122,354.297242,0.2455541,None,1.5847567,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,R,M,45,_,_,_RM045__,N,0,99,99,17,,,0.802,355.2774704,355.5636101,355.5636101,355.7615864,355.7781786,None,down,355.7781786,None,355.7781786,356.5608888,0.2138233,None,2.2330378,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
164,F,N,135,L,N,164FN135LN,HLN,0,100,100,219,,,1.171,358.2025723,358.4925432,358.4925432,358.7261797,358.7424634,None,up,358.7424634,None,358.7424634,359.8912496,0.1794984,None,1.9664452,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
193,G,N,0,R,N,193GN000RN,HRN,0,101,101,224,,,0.709,360.9292383,361.2240623,361.2240623,361.4232516,361.4403198,None,up,361.4403198,None,361.4403198,362.1395595,0.2069749,None,1.3175327,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
131,F,N,90,R,N,131FN090RN,HRN,0,102,102,210,,,0.973,363.0759348,363.3716857,363.3716857,363.4719402,363.4883775,None,up,363.4883775,None,363.4883775,364.4541933,0.3043063,None,1.6176911,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
199,G,N,270,R,N,199GN270RN,HRN,0,103,103,230,,,0.716,365.3275957,365.6197142,365.6197142,365.8194084,365.8362196,None,up,365.8362196,None,365.8362196,366.5361885,0.2035788,None,1.6006522,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
393,_4,M,0,R,N,393_4M000RN,HRN,0,104,104,160,,,0.825,367.6903156,367.9845004,367.9845004,368.152217,368.1698827,None,down,368.1698827,None,368.1698827,368.9832707,0.2398653,None,1.7850454,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_4,M,45,_,_,__4M045__,N,0,105,105,33,,,1.07,370.2854703,370.5819514,370.5819514,370.6819216,370.6986307,None,down,370.6986307,None,370.6986307,371.7477464,0.3087398,None,1.9348459,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,R,M,0,_,_,_RM000__,N,0,106,106,16,,,1.179,372.8335123,373.1299833,373.1299833,373.3466257,373.3629708,None,down,373.3629708,None,373.3629708,374.5286348,0.1873347,None,2.2169866,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
1,R,N,0,R,N,001RN000RN,HRN,0,107,107,192,,,1.06,375.9119148,376.2105305,376.2105305,376.2936726,376.3104545,None,up,376.3104545,None,376.3104545,377.3594157,0.3186674,None,1.9503411,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
391,_4,N,270,R,N,391_4N270RN,HRN,0,108,108,262,,,1.355,378.5694655,378.8584489,378.8584489,378.9750033,378.9913531,None,up,378.9913531,None,378.9913531,380.3409629,0.2956989,None,3.2650199,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_2,M,90,_,_,__2M090__,N,0,109,109,26,,,0.95,382.4704673,382.7717026,382.7717026,382.9716247,382.9884738,None,down,382.9884738,None,382.9884738,383.920458,0.1996253,None,2.1643827,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_5,M,315,_,_,__5M315__,N,0,110,110,47,,,1.165,385.5054386,385.8020947,385.8020947,385.8687714,385.8853104,None,down,385.8853104,None,385.8853104,387.0345082,0.3377383,None,3.0642914,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
138,F,M,45,R,N,138FM045RN,HRN,0,111,111,113,,,0.829,389.1396527,389.4323617,389.4323617,389.6652472,389.6819533,None,down,389.6819533,None,389.6819533,390.4982044,0.1790736,None,1.7833777,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
450,_5,N,45,R,N,450_5N045RN,HRN,0,112,112,273,,,0.833,391.7579463,392.0466103,392.0466103,392.1802673,392.1968989,None,up,392.1968989,None,392.1968989,393.0127334,0.2789354,None,2.3155108,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
296,_2,N,315,L,N,296_2N315LN,HLN,0,113,113,255,,,0.977,394.7459889,395.0441235,395.0441235,395.2278662,395.2442081,None,down,395.2442081,None,395.2442081,396.2104243,0.2205404,None,3.3828598,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
496,_5,M,315,L,N,496_5M315LN,HLN,0,114,114,191,,,1.111,398.8542766,399.1553261,399.1553261,399.3403744,399.3570461,None,down,399.3570461,None,399.3570461,400.4565924,0.2125597,None,2.6823754,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
260,_2,N,135,R,N,260_2N135RN,HRN,0,115,115,243,,,1.323,402.2305126,402.5210421,402.5210421,402.7538552,402.7705534,None,up,402.7705534,None,402.7705534,404.0861756,0.1791645,None,2.0337103,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
492,_5,M,135,L,N,492_5M135LN,HLN,0,116,116,187,,,1.078,406.0204215,406.31789,406.31789,406.5173095,406.5341572,None,up,406.5341572,None,406.5341572,407.5997155,0.2038633,None,3.1150549,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,F,N,90,_,_,_FN090__,N,0,117,117,50,,,0.932,409.8844135,410.180819,410.180819,410.3647385,410.3809321,None,up,410.3809321,None,410.3809321,411.2965963,0.2208629,None,2.382827,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
170,F,M,45,L,N,170FM045LN,HLN,0,118,118,121,,,0.996,413.0869125,413.3782392,413.3782392,413.4780599,413.4952465,None,down,413.4952465,None,413.4952465,414.477216,0.3093656,None,2.0653252,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_4,M,225,_,_,__4M225__,N,0,119,119,37,,,0.889,415.8370896,416.1270432,416.1270432,416.2766673,416.294389,None,down,416.294389,None,416.294389,417.1760262,0.2622741,None,3.3301185,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_4,N,225,_,_,__4N225__,N,0,120,120,85,,,0.955,419.8135046,420.1054576,420.1054576,420.3389223,420.3552341,None,up,420.3552341,None,420.3552341,421.3045243,0.1755306,None,1.9180301,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,R,N,0,_,_,_RN000__,N,0,121,121,64,,,0.872,422.5627512,422.8532299,422.8532299,422.9864377,423.0029429,None,up,423.0029429,None,423.0029429,423.8687963,0.2771345,None,2.3492936,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,R,N,135,_,_,_RN135__,N,0,122,122,67,,,1.107,425.5704359,425.8672354,425.8672354,426.0680169,426.0874177,None,up,426.0874177,None,426.0874177,427.1827172,0.2035688,None,2.1120556,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,R,N,315,_,_,_RN315__,N,0,123,123,71,,,0.809,428.4090905,428.6985102,428.6985102,428.9145263,428.9316763,None,down,428.9316763,None,428.9316763,429.7307315,0.1962546,None,2.1997634,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
47,R,M,270,L,N,047RM270LN,HLN,0,124,124,110,,,1.376,431.3299595,431.6294377,431.6294377,431.8566524,431.8566524,None,down,431.8566524,None,431.8566524,433.2276988,0.1860801,None,2.5219037,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
488,_5,N,315,L,N,488_5N315LN,HLN,0,125,125,287,,,0.938,434.6918421,434.9926337,434.9926337,435.0921936,435.1091435,None,up,435.1091435,None,435.1091435,436.0422488,0.3000249,None,2.51534,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
398,_4,M,225,R,N,398_4M225RN,HRN,0,126,126,165,,,1.125,437.8364397,438.1245253,438.1245253,438.3397746,438.3563246,None,down,438.3563246,None,438.3563246,439.4720117,0.1990727,None,2.6181927,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
264,_2,N,315,R,N,264_2N315RN,HRN,0,127,127,247,,,0.821,441.2361086,441.5367638,441.5367638,441.6865727,441.7032816,None,up,441.7032816,None,441.7032816,442.519583,0.248445,None,1.9842059,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_5,M,90,_,_,__5M090__,N,0,128,128,42,,,1.283,444.0280953,444.3179758,444.3179758,444.401287,444.4178519,None,down,444.4178519,None,444.4178519,445.6836638,0.3248816,None,2.8349594,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,F,N,225,_,_,_FN225__,N,0,129,129,53,,,1.027,447.5381349,447.8312398,447.8312398,447.9817942,447.9817942,None,up,447.9817942,None,447.9817942,448.9967356,0.2663699,None,2.7981333,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
10,R,M,45,R,N,010RM045RN,HRN,0,130,130,97,,,1.139,451.0162579,451.3115751,451.3115751,451.4947334,451.5112752,None,up,451.5112752,None,451.5112752,452.6437137,0.2248024,None,3.0321078,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,G,N,90,_,_,_GN090__,N,0,131,131,58,,,1.106,454.7406011,455.0415256,455.0415256,455.2582033,455.2753678,None,up,455.2753678,None,455.2753678,456.3734796,0.1839383,None,2.8165788,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,G,M,90,_,_,_GM090__,N,0,132,132,10,,,0.836,458.4226483,458.7224402,458.7224402,458.8053231,458.8231113,None,down,458.8231113,None,458.8231113,459.638778,0.3172394,None,1.7834236,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
417,_4,N,0,L,N,417_4N000LN,HLN,0,133,133,264,,,1.341,460.8619784,461.1534438,461.1534438,461.319867,461.3372393,None,up,461.3372393,None,461.3372393,462.6683734,0.2394172,None,2.4813341,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
392,_4,N,315,R,N,392_4N315RN,HRN,0,134,134,263,,,1.151,463.9505145,464.2498896,464.2498896,464.5335064,464.5500256,None,up,464.5500256,None,464.5500256,465.6828204,0.1197741,None,2.0502032,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
397,_4,M,180,R,N,397_4M180RN,HRN,0,135,135,164,,,0.968,466.8562742,467.147641,467.147641,467.3143376,467.3309513,None,None,467.3309513,None,467.3309513,468.2800012,0.2435597,None,,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
6,R,N,225,R,N,006RN225RN,HRN,0,136,136,197,,,0.757,471.0000953,471.2941596,471.2941596,471.5108283,471.5273611,471.0000953,up,471.5273611,None,471.5273611,472.2599678,0.1941877,None,2.0662548,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_5,N,90,_,_,__5N090__,N,0,137,137,90,,,0.808,473.8084244,474.109749,474.109749,474.3084952,474.3249319,None,up,474.3249319,None,474.3249319,475.1247177,0.2016591,None,2.082435,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
141,F,M,180,R,N,141FM180RN,HRN,0,138,138,116,,,0.734,476.7368189,477.0237183,477.0237183,477.1221331,477.1387906,None,up,477.1387906,None,477.1387906,477.8550499,0.3145303,None,1.8158953,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
228,G,N,135,L,N,228GN135LN,HLN,0,139,139,235,,,1.16,479.2796543,479.5703581,479.5703581,479.6702667,479.6872002,None,up,479.6872002,None,479.6872002,480.8357438,0.3125358,None,2.4152803,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_2,N,180,_,_,__2N180__,N,0,140,140,76,,,1.388,482.2895732,482.5843623,482.5843623,482.8172576,482.834765,None,up,482.834765,None,482.834765,484.1994428,0.1744427,None,2.2504472,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
5,R,N,180,R,N,005RN180RN,HRN,0,141,141,196,,,1.076,485.3009587,485.5982981,485.5982981,485.7982479,485.8150984,None,up,485.8150984,None,485.8150984,486.8804837,0.202692,None,2.0659951,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
45,R,M,180,L,N,045RM180LN,HLN,0,142,142,108,,,1.007,488.1069721,488.3959835,488.3959835,488.5956507,488.6125563,None,down,488.6125563,None,488.6125563,489.612642,0.2123889,None,2.1989413,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_2,M,315,_,_,__2M315__,N,0,143,143,31,,,1.369,491.1201724,491.4099542,491.4099542,491.5268814,491.543687,None,down,491.543687,None,491.543687,492.8915578,0.2936409,None,2.7683689,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
140,F,M,135,R,N,140FM135RN,HRN,0,144,144,115,,,1.086,494.5861588,494.874004,494.874004,495.0400187,495.0566705,None,up,495.0566705,None,495.0566705,496.123781,0.2527633,None,2.9486226,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,G,N,315,_,_,_GN315__,N,0,145,145,63,,,0.829,498.2273355,498.5208574,498.5208574,498.7204127,498.7383433,None,None,498.7383433,None,498.7383433,499.5528381,0.2095047,None,,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
291,_2,N,90,L,N,291_2N090LN,HLN,0,146,146,250,,,1.399,502.5104551,502.7998699,502.7998699,502.9167831,502.9340424,502.5104551,up,502.9340424,None,502.9340424,504.3160896,0.2899232,None,2.4984432,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
196,G,N,135,R,N,196GN135RN,HRN,0,147,147,227,,,1.297,505.6785419,505.9832204,505.9832204,506.1479384,506.1662483,None,up,506.1662483,None,506.1662483,507.4464286,0.2318458,None,2.4302202,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
143,F,M,270,R,N,143FM270RN,HRN,0,148,148,118,,,1.198,508.7865963,509.0780902,509.0780902,509.3112934,509.3292927,None,down,509.3292927,None,509.3292927,510.5098003,0.177072,None,2.3813868,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,G,N,270,_,_,_GN270__,N,0,149,149,62,,,0.933,511.9358662,512.2249972,512.2249972,512.4251103,512.4417577,None,up,512.4417577,None,512.4417577,513.3573206,0.2113616,None,1.7342135,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
236,G,M,135,L,N,236GM135LN,HLN,0,150,150,139,,,1.243,514.3727333,514.6727528,514.6727528,514.8894332,514.9060613,None,down,514.9060613,None,514.9060613,516.1391234,0.18406,None,2.3331731,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
460,_5,M,135,R,N,460_5M135RN,HRN,0,151,151,179,,,1.006,517.6219464,517.9198535,517.9198535,518.1530943,518.169881,None,down,518.169881,None,518.169881,519.1527527,0.1693271,None,2.7500386,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
427,_4,M,90,L,N,427_4M090LN,HLN,0,152,152,170,,,1.151,521.1496896,521.4510596,521.4510596,521.633741,521.6515689,None,down,521.6515689,None,521.6515689,522.7829961,0.2153937,None,2.3823393,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
390,_4,N,225,R,N,390_4N225RN,HRN,0,153,153,261,,,0.798,524.2688018,524.5643096,524.5643096,524.7477332,524.7654681,None,up,524.7654681,None,524.7654681,525.5488072,0.2208145,None,2.8810368,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
139,F,M,90,R,N,139FM090RN,HRN,0,154,154,114,,,1.053,527.8328663,528.128153,528.128153,528.3609053,528.3776502,None,down,528.3776502,None,528.3776502,529.4099761,0.173893,None,2.1656206,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
270,_2,M,225,R,N,270_2M225RN,HRN,0,155,155,149,,,0.938,530.8204469,531.1091024,531.1091024,531.258375,531.2750556,None,up,531.2750556,None,531.2750556,532.1909837,0.2646953,None,3.3146738,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_2,N,270,_,_,__2N270__,N,0,156,156,78,,,1.381,534.7767027,535.0714495,535.0714495,535.3047528,535.321576,None,up,535.321576,None,535.321576,536.6874893,0.1734881,None,2.8495607,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
169,F,M,0,L,N,169FM000LN,HLN,0,157,157,120,,,1.139,538.4008678,538.7021092,538.7021092,538.8856112,538.9028729,None,down,538.9028729,None,538.9028729,540.0344377,0.2138287,None,2.4353724,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
38,R,N,225,L,N,038RN225LN,HLN,0,158,158,205,,,1.248,541.7317685,542.0324938,542.0324938,542.0670996,542.0835826,None,up,542.0835826,None,542.0835826,543.3146564,0.3691968,None,2.2489677,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
423,_4,N,270,L,N,423_4N270LN,HLN,0,159,159,270,,,0.74,544.5170928,544.813584,544.813584,545.0462811,545.0634085,None,down,545.0634085,None,545.0634085,545.7958514,0.1728066,None,2.6155603,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_4,N,45,_,_,__4N045__,N,0,160,160,81,,,1.352,547.8691418,548.1604767,548.1604767,548.3939028,548.410202,None,up,548.410202,None,548.410202,549.7425151,0.1790297,None,2.149231,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
269,_2,M,180,R,N,269_2M180RN,HRN,0,161,161,148,,,0.944,550.7452067,551.0420906,551.0420906,551.2754211,551.294848,None,down,551.294848,None,551.294848,552.2241054,0.1733255,None,2.9298987,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_2,N,315,_,_,__2N315__,N,0,162,162,79,,,1.25,554.4819016,554.7719266,554.7719266,554.9382299,554.956258,None,up,554.956258,None,554.956258,556.1867259,0.2409511,None,2.3813992,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
237,G,M,180,L,N,237GM180LN,HLN,0,163,163,140,,,0.989,557.5044233,557.8017838,557.8017838,558.0527675,558.0682787,None,up,558.0682787,None,558.0682787,559.050606,0.1531145,None,2.2328359,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
426,_4,M,45,L,N,426_4M045LN,HLN,0,164,164,169,,,0.865,560.4923868,560.7831915,560.7831915,561.0159006,561.0323933,None,down,561.0323933,None,561.0323933,561.8815151,0.1794981,None,1.8162735,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
48,R,M,315,L,N,048RM315LN,HLN,0,165,165,111,,,1.194,563.0519659,563.3470447,563.3470447,563.5635167,563.5803043,None,down,563.5803043,None,563.5803043,564.7626671,0.1898251,None,2.0996226,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,F,M,270,_,_,_FM270__,N,0,166,166,6,,,1.007,565.8796258,566.1784098,566.1784098,566.3950136,566.4120094,None,down,566.4120094,None,566.4120094,567.4103022,0.1876512,None,1.8824769,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,F,M,315,_,_,_FM315__,N,0,167,167,7,,,1.342,568.5273169,568.825582,568.825582,569.0088354,569.0259702,None,down,569.0259702,None,569.0259702,570.3579509,0.2144274,None,2.2827453,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
134,F,N,225,R,N,134FN225RN,HRN,0,168,168,213,,,0.934,571.5735018,571.8729626,571.8729626,572.0231095,572.0397162,None,up,572.0397162,None,572.0397162,572.9580734,0.248611,None,1.9172043,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,R,M,270,_,_,_RM270__,N,0,169,169,22,,,1.002,574.1592419,574.4542831,574.4542831,574.6703952,574.6872017,None,down,574.6872017,None,574.6872017,575.6695971,0.1900926,None,1.6834432,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
9,R,M,0,R,N,009RM000RN,HRN,0,170,170,96,,,1.26,576.562286,576.8519192,576.8519192,577.0849617,577.1021915,None,down,577.1021915,None,577.1021915,578.3513139,0.1789796,None,1.9336837,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
44,R,M,135,L,N,044RM135LN,HLN,0,171,171,107,,,1.102,579.2511009,579.5495742,579.5495742,579.7493327,579.7666973,None,up,579.7666973,None,579.7666973,580.8484862,0.2029789,None,2.248933,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,F,M,90,_,_,_FM090__,N,0,172,172,2,,,1.264,582.2320261,582.5303739,582.5303739,582.7308274,582.7474951,None,down,582.7474951,None,582.7474951,583.9955743,0.2030915,None,2.8326724,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
258,_2,N,45,R,N,258_2N045RN,HRN,0,173,173,241,,,1.094,585.8346541,586.1297568,586.1297568,586.2937278,586.3104749,None,up,586.3104749,None,586.3104749,587.3923713,0.2406066,None,2.636708,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
482,_5,N,45,L,N,482_5N045LN,HLN,0,174,174,281,,,1.184,589.196576,589.4910306,589.4910306,589.674196,589.674196,None,down,589.674196,None,589.674196,590.856517,0.2322594,None,2.6326812,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
257,_2,N,0,R,N,257_2N000RN,HRN,0,175,175,240,,,1.354,592.5073947,592.8047906,592.8047906,593.0212557,593.0380647,None,up,593.0380647,None,593.0380647,594.3867103,0.1880094,None,2.5154602,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
481,_5,N,0,L,N,481_5N000LN,HLN,0,176,176,280,,,1.185,595.7501666,596.0519833,596.0519833,596.2682418,596.2852184,None,up,596.2852184,None,596.2852184,597.4504939,0.1839967,None,2.1821058,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
295,_2,N,270,L,N,295_2N270LN,HLN,0,177,177,254,,,1.33,598.6535145,598.9492235,598.9492235,599.1828576,599.1996365,None,up,599.1996365,None,599.1996365,600.5150298,0.1748597,None,2.0995154,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,G,N,0,_,_,_GN000__,N,0,178,178,56,,,0.829,601.5525635,601.8468317,601.8468317,602.0133757,602.0300445,None,down,602.0300445,None,602.0300445,602.8456453,0.2379384,None,1.8522753,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_2,N,225,_,_,__2N225__,N,0,179,179,77,,,1.004,604.1862897,604.4780027,604.4780027,604.6111683,604.6111683,None,up,604.6111683,None,604.6111683,605.610054,0.2831233,None,1.8661939,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_2,N,45,_,_,__2N045__,N,0,180,180,73,,,1.372,606.6598179,606.958981,606.958981,607.1920283,607.2086937,None,up,607.2086937,None,607.2086937,608.574295,0.1700848,None,2.1838528,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
459,_5,M,90,R,N,459_5M090RN,HRN,0,181,181,178,,,0.9,609.6142557,609.9065338,609.9065338,610.1067373,610.1229115,None,down,610.1229115,None,610.1229115,611.0054699,0.2091754,None,2.4167334,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
495,_5,M,270,L,N,495_5M270LN,HLN,0,182,182,190,,,1.259,612.752107,613.0538815,613.0538815,613.2553823,613.2719063,None,None,613.2719063,None,613.2719063,614.5190934,0.1994237,None,,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
233,G,M,0,L,N,233GM000LN,HLN,0,183,183,136,,,0.982,616.9705136,617.2671087,617.2671087,617.45013,617.4671214,616.9705136,down,617.4671214,None,617.4671214,618.4324411,0.2183953,None,3.0314355,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
