Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,key_JUDGE.rt,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
231,G,N,270,L,N,231GN270LN,HLN,0,0,0,238,1133.3501658999594,None,1.221,1171.5990157999913,1171.8402967999573,1171.8402967999573,1171.9897897999617,1172.008032999991,None,None,1172.008032999991,None,1172.008032999991,1173.2053446999635,0.25750950002111495,None,,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
_,_4,M,180,_,_,__4M180__,N,0,1,1,36,,,0.741,1175.7560940000112,1176.0532850999734,1176.0532850999734,1176.2205221999902,1176.2375760999857,1175.7560940000112,up,1176.2375760999857,None,1176.2375760999857,1176.9686911999597,0.2385774000431411,None,1.7161678000120446,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
_,R,M,315,_,_,_RM315__,N,0,2,2,23,,,0.74,1178.144362299994,1178.434540999995,1178.434540999995,1178.6673862999887,1178.6846951000043,None,up,1178.6846951000043,None,1178.6846951000043,1179.4002274000086,0.18269429996144027,None,2.066549799987115,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
489,_5,M,0,L,N,489_5M000LN,HLN,0,3,3,184,,,0.753,1180.9298839999828,1181.2324329999974,1181.2324329999974,1181.4658441999927,1181.485195599962,None,None,1181.485195599962,None,1181.485195599962,1182.2147073000087,0.1715041000279598,None,,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
141,F,M,180,R,N,141FM180RN,HRN,0,4,4,116,,,1.316,1185.0610787000041,1185.3617502999841,1185.3781457999721,1185.6619754999992,1185.6786235999898,1185.0610787000041,up,1185.6786235999898,None,1185.6786235999898,1186.977073499991,0.10263959999429062,None,2.882173200021498,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
_,G,N,90,_,_,_GN090__,N,0,5,5,58,,,0.749,1188.6638997999835,1188.9753483000095,1188.9922133999644,1189.2753161999863,1189.2939464999945,None,up,1189.2939464999945,None,1189.2939464999945,1190.0248771999613,0.09592559997690842,None,2.812873099988792,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
_,_2,N,315,_,_,__2N315__,N,0,6,6,79,,,0.838,1192.2484365999699,1192.5387624999858,1192.5387624999858,1192.8223262999672,1192.8390525999712,None,up,1192.8390525999712,None,1192.8390525999712,1193.6542809999664,0.13280180003494024,None,2.399028600018937,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
_,_2,M,135,_,_,__2M135__,N,0,7,7,27,,,1.09,1195.319099699962,1195.653043999977,1195.6690586999757,1195.9527403999818,1195.9695141999982,None,None,1195.9695141999982,None,1195.9695141999982,1197.0359730999917,0.07394550001481548,None,,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
_,_5,N,135,_,_,__5N135__,N,0,8,8,91,,,1.103,1199.5931726999697,1199.882848499983,1199.882848499983,1200.1491920999833,1200.1655191999744,1199.5931726999697,up,1200.1655191999744,None,1200.1655191999744,1201.2475899999845,0.1522772999596782,None,2.0999149999697693,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
047,R,M,270,L,N,047RM270LN,HLN,0,9,9,110,,,1.0230000000000001,1202.4895544999745,1202.7802308999817,1202.7802308999817,1202.9802348999656,1202.9966483999742,None,up,1202.9966483999742,None,1202.9966483999742,1203.9956045,0.2171739999903366,None,2.1655482000205666,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
_,_4,N,180,_,_,__4N180__,N,0,10,10,84,,,1.24,1205.2527544999612,1205.5781343999552,1205.594577199954,1205.8773975999793,1205.8936383999535,None,up,1205.8936383999535,None,1205.8936383999535,1207.1091886999784,0.08309159998316318,None,2.082183199992869,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
_,F,M,270,_,_,_FM270__,N,0,11,11,6,,,1.039,1208.1711649000063,1208.4593908999814,1208.4593908999814,1208.6919150999747,1208.7090402999893,None,up,1208.7090402999893,None,1208.7090402999893,1209.7238575000083,0.18720100005157292,None,2.133386800007429,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
_,R,N,180,_,_,_RN180__,N,0,12,12,68,,,1.087,1210.9698363000061,1211.2578091999749,1211.2578091999749,1211.5556773999706,1211.5723637999617,None,up,1211.5723637999617,None,1211.5723637999617,1212.638898300007,0.11794199998257682,None,3.4478463000268675,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
172,F,M,135,L,N,172FM135LN,HLN,0,13,13,123,,,0.743,1215.2259230999625,1215.5195561999572,1215.5195561999572,1215.7352769999998,1215.7522864000057,None,up,1215.7522864000057,None,1215.7522864000057,1216.4844452000107,0.1982904999749735,None,1.9997214999748394,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
199,G,N,270,R,N,199GN270RN,HRN,0,14,14,230,,,0.896,1217.935685399978,1218.2331706999685,1218.2331706999685,1218.4661665000021,1218.4827050999738,None,up,1218.4827050999738,None,1218.4827050999738,1219.3655790999765,0.17362519999733195,None,2.5647744000307284,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
_,_4,N,225,_,_,__4N225__,N,0,15,15,85,,,0.872,1221.1168987999554,1221.463716999977,1221.4805321999593,1221.7634155999986,1221.7799723999924,None,up,1221.7799723999924,None,1221.7799723999924,1222.6290974000003,0.06169729999965057,None,3.0651781000196934,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
134,F,N,225,R,N,134FN225RN,HRN,0,16,16,213,,,1.175,1225.0108255000087,1225.3098469999968,1225.3098469999968,1225.5595932999859,1225.576879100001,None,up,1225.576879100001,None,1225.576879100001,1226.7423082999885,0.1577660000184551,None,1.9823685000301339,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
291,_2,N,90,L,N,291_2N090LN,HLN,0,17,17,250,,,0.802,1227.747859199997,1228.0410599999595,1228.0410599999595,1228.275346099981,1228.293591899972,None,up,1228.293591899972,None,1228.293591899972,1229.0735719999648,0.18024779995903373,None,1.729499200009741,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
459,_5,M,90,R,N,459_5M090RN,HRN,0,18,18,178,,,1.266,1230.2226423000102,1230.5226384999696,1230.5226384999696,1230.7390252999612,1230.7553957999917,None,down,1230.7553957999917,None,1230.7553957999917,1232.0050332999672,0.1895926000433974,None,3.38262869999744,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
304,_2,M,315,L,N,304_2M315LN,HLN,0,19,19,159,,,0.991,1234.3265541999717,1234.6189068999956,1234.6189068999956,1234.851632899954,1234.8680672000046,None,up,1234.8680672000046,None,1234.8680672000046,1235.8507743999944,0.1803455000044778,None,3.250444700010121,,,,,,,,,8,001,2019_Dec_25_0820,untitled,3.1.0,59.99660419428335,
