Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
230,G,N,225,L,N,230GN225LN,HLN,0,0,0,237,788.4951493,None,1.131,798.4444049,798.7866425,798.8027702,799.0856947,799.1022783,None,None,,799.1022783,None,799.1022783,800.2183302,0.0616825,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
424,_4,N,315,L,N,424_4N315LN,HLN,0,1,1,271,,,1.207,802.7079882,803.0490524,803.0655651,803.3493564,803.3666266,802.7079882,up,2.1301838,803.3666266,None,803.3666266,804.5479688,0.0665754,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
_,_2,M,90,_,_,__2M090__,N,0,2,2,26,,,1.321,805.5675486,805.9128362,805.9293634,806.2126291,806.2289118,None,up,2.7997935,806.2289118,None,806.2289118,807.5278377,0.063871,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
259,_2,N,90,R,N,259_2N090RN,HRN,0,3,3,242,,,1.165,809.1539534,809.4437738,809.4437738,809.7432812,809.7596694,None,up,2.4984733,809.7596694,None,809.7596694,810.9084058,0.1136821,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
_,G,N,90,_,_,_GN090__,N,0,4,4,58,,,1.211,812.3249365,812.6735237,812.6907854,812.9739296,812.991837,None,up,2.7634516,812.991837,None,812.991837,814.1913763,0.05917,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
397,_4,M,180,R,N,397_4M180RN,HRN,0,5,5,164,,,0.918,815.8535287,816.1708149,816.1875398,816.4707477,816.4876905,None,up,1.5832835,816.4876905,None,816.4876905,817.3868585,0.089329,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
461,_5,M,180,R,N,461_5M180RN,HRN,0,6,6,180,,,0.787,818.1702526,818.4852175,818.5022315,818.7860953,818.8023916,None,down,1.8819755,818.8023916,None,818.8023916,819.5694228,0.0883295,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
_,_4,M,90,_,_,__4M090__,N,0,7,7,34,,,0.739,820.774148,821.0999998,821.1166155,821.4001152,821.4167927,None,down,1.4507157,821.4167927,None,821.4167927,822.132733,0.0811085,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
_,F,M,45,_,_,_FM045__,N,0,8,8,1,,,0.729,822.9880955,823.2814681,823.2980253,823.5812721,823.5981874,None,down,1.866376,823.5981874,None,823.5981874,824.314691,0.1097604,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
_,G,N,180,_,_,_GN180__,N,0,9,9,60,,,1.263,825.5897573,825.8793689,825.8793689,826.1784701,826.1951372,None,down,2.7489279,826.1951372,None,826.1951372,827.4446503,0.1144922,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
_,F,M,225,_,_,_FM225__,N,0,10,10,5,,,1.252,829.0335404,829.3594851,829.3760022,829.6595503,829.6776015,None,down,2.9798838,829.6776015,None,829.6776015,830.9084629,0.0801836,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
423,_4,N,270,L,N,423_4N270LN,HLN,0,11,11,270,,,0.869,832.7498936,833.0726994,833.0894359,833.3732942,833.389639,None,up,2.6991429,833.389639,None,833.389639,834.2391544,0.0829947,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
46,R,M,225,L,N,046RM225LN,HLN,0,12,12,109,,,0.741,836.2127986,836.5034879,836.5034879,836.8028432,836.8193363,None,down,3.2506645,836.8193363,None,836.8193363,837.5528999,0.113435,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
_,F,M,0,_,_,_FM000__,N,0,13,13,0,,,1.057,840.1774783,840.482962,840.49953,840.7831799,840.7998943,None,None,,840.7998943,None,840.7998943,841.8489122,0.0963217,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
_,G,N,0,_,_,_GN000__,N,0,14,14,56,,,1.353,844.3778986,844.6643358,844.6965022,844.9797791,844.9967335,844.3778986,up,2.298497,844.9967335,None,844.9967335,846.3285566,0.102278,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
238,G,M,225,L,N,238GM225LN,HLN,0,15,15,141,,,1.221,847.4116849,847.7099934,847.7262026,848.0114296,848.0269621,None,down,2.8507557,848.0269621,None,848.0269621,849.2258504,0.1056557,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
228,G,N,135,L,N,228GN135LN,HLN,0,16,16,235,,,1.011,851.0033626,851.3067079,851.3067079,851.5904134,851.6071263,None,down,1.9670822,851.6071263,None,851.6071263,852.6068734,0.1148045,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
174,F,M,225,L,N,174FM225LN,HLN,0,17,17,125,,,0.86,853.7016294,854.0050868,854.0050868,854.2883507,854.3047456,None,up,2.4343484,854.3047456,None,854.3047456,855.1539025,0.1167919,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
202,G,M,45,R,N,202GM045RN,HRN,0,18,18,129,,,1.111,856.8584122,857.1517552,857.1684021,857.4521897,857.4688179,None,down,2.5000604,857.4688179,None,857.4688179,858.5679587,0.108747,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
175,F,M,270,L,N,175FM270LN,HLN,0,19,19,126,,,0.706,860.0925875,860.382366,860.382366,860.6825265,860.6996041,None,down,2.4493715,860.6996041,None,860.6996041,861.3981003,0.1126339,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
_,_5,N,45,_,_,__5N045__,N,0,20,20,89,,,1.246,863.2717918,863.5624865,863.5624865,863.863512,863.8796166,None,up,2.4477231,863.8796166,None,863.8796166,865.1117703,0.1117902,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
132,F,N,135,R,N,132FN135RN,HRN,0,21,21,211,,,0.813,866.4060728,866.7433791,866.760103,867.0430005,867.059713,None,up,2.4324057,867.059713,None,867.059713,867.85893,0.0712678,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
176,F,M,315,L,N,176FM315LN,HLN,0,22,22,127,,,1.284,869.5624418,869.9071846,869.923871,870.2067127,870.2233552,None,down,2.3656706,870.2233552,None,870.2233552,871.4889457,0.0635697,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
_,_4,N,270,_,_,__4N270__,N,0,23,23,86,,,1.352,872.6607809,873.0044418,873.0214839,873.3050462,873.321599,None,up,2.2181771,873.321599,None,873.321599,874.653756,0.0647261,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
290,_2,N,45,L,N,290_2N045LN,HLN,0,24,24,249,,,0.937,875.6664924,875.9685161,875.9685161,876.2521505,876.2689265,None,up,2.3344384,876.2689265,None,876.2689265,877.2016594,0.1160999,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
398,_4,M,225,R,N,398_4M225RN,HRN,0,25,25,165,,,0.913,878.7240241,879.0161472,879.0324984,879.316162,879.3328505,None,up,2.0163324,879.3328505,None,879.3328505,880.232003,0.109804,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
_,_2,M,315,_,_,__2M315__,N,0,26,26,31,,,0.821,881.4617948,881.7636409,881.7803783,882.0640595,882.0804442,None,down,1.8332166,882.0804442,None,882.0804442,882.8963797,0.1009954,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
_,_4,M,45,_,_,__4M045__,N,0,27,27,33,,,0.763,883.9991655,884.3280308,884.3450132,884.6297389,884.6450754,None,down,1.4522813,884.6450754,None,884.6450754,885.394877,0.076664,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
_,_5,N,315,_,_,__5N315__,N,0,28,28,95,,,0.871,886.2222446,886.5117474,886.5117474,886.8094521,886.826304,None,up,1.7194077,886.826304,None,886.826304,887.6919951,0.1135594,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
143,F,M,270,R,N,143FM270RN,HRN,0,29,29,118,,,1.339,888.6627868,888.9577049,888.9741299,889.2579524,889.2741913,None,down,2.2174355,889.2741913,None,889.2741913,890.6063025,0.1050195,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
200,G,N,315,R,N,200GN315RN,HRN,0,30,30,231,,,1.381,891.6051579,891.9049826,891.9218747,892.2051296,892.2218646,None,down,2.3320816,892.2218646,None,892.2218646,893.587036,0.1020383,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
_,G,M,315,_,_,_GM315__,N,0,31,31,15,,,0.824,894.6638686,894.9536586,894.9851861,895.2693274,895.2857092,None,down,2.2554818,895.2857092,None,895.2857092,896.1020179,0.0992523,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
_,_4,M,0,_,_,__4M000__,N,0,32,32,32,,,1.218,897.6564659,897.9494455,897.9661438,898.2657042,898.2657042,None,down,2.6672497,898.2657042,None,898.2657042,899.4816349,0.1047909,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
_,_5,N,180,_,_,__5N180__,N,0,33,33,92,,,0.951,901.0469063,901.3464365,901.3631731,901.6476422,901.6636523,None,up,2.6821803,901.6636523,None,901.6636523,902.5954391,0.1026345,None,,,,,,,,,3,1,2019_Dec_20_1701,untitled,3.1.0,59.90545721
