Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
_,_2,N,315,_,_,__2N315__,N,0,0,0,79,376.2726337,None,0.703,422.9803516,423.2672879,423.2672879,423.4819641,423.4986419,None,up,2.4173489,423.4986419,None,423.4986419,424.1812993,0.2047833,None,,,,,,,,,48,1,2020_Jan_03_1626,untitled,3.1.0,60.06922378
429,_4,M,180,L,N,429_4M180LN,HLN,0,1,1,172,,,1.049,426.2936547,426.5962931,426.5962931,426.7290604,426.7455207,None,up,2.565664,426.7455207,None,426.7455207,427.7783911,0.2655114,None,,,,,,,,,48,1,2020_Jan_03_1626,untitled,3.1.0,60.06922378
491,_5,M,90,L,N,491_5M090LN,HLN,0,2,2,186,,,0.82,429.4989055,429.7931084,429.7931084,430.026636,430.0436391,None,down,2.6655104,430.0436391,None,430.0436391,430.8427022,0.1752016,None,,,,,,,,,48,1,2020_Jan_03_1626,untitled,3.1.0,60.06922378
300,_2,M,135,L,N,300_2M135LN,HLN,0,3,3,155,,,1.192,432.8867368,433.1749276,433.1749276,433.4235313,433.4402081,None,down,3.0988502,433.4402081,None,433.4402081,434.6221023,0.1654979,None,,,,,,,,,48,1,2020_Jan_03_1626,untitled,3.1.0,60.06922378
203,G,M,90,R,N,203GM090RN,HRN,0,4,4,130,,,1.258,436.7846821,437.086669,437.086669,437.2532417,437.2698089,None,None,,437.2698089,None,437.2698089,438.5188655,0.2332833,None,,,,,,,,,48,1,2020_Jan_03_1626,untitled,3.1.0,60.06922378
_,_5,N,225,_,_,__5N225__,N,0,5,5,93,,,0.911,440.9205508,441.2162775,441.2162775,441.4494372,441.4664021,440.9205508,up,2.5011954,441.4664021,None,441.4664021,442.3651325,0.1768281,None,,,,,,,,,48,1,2020_Jan_03_1626,untitled,3.1.0,60.06922378
_,R,M,270,_,_,_RM270__,N,0,6,6,22,,,0.919,444.1558463,444.4483921,444.4483921,444.6798926,444.6970496,None,down,2.9817984,444.6970496,None,444.6970496,445.596303,0.1754652,None,,,,,,,,,48,1,2020_Jan_03_1626,untitled,3.1.0,60.06922378
390,_4,N,225,R,N,390_4N225RN,HRN,0,7,7,261,,,1.364,447.855987,448.1442926,448.1442926,448.3934467,448.4100134,None,up,2.8496338,448.4100134,None,448.4100134,449.7488019,0.1654335,None,,,,,,,,,48,1,2020_Jan_03_1626,untitled,3.1.0,60.06922378
_,_4,N,315,_,_,__4N315__,N,0,8,8,87,,,1.094,451.4402828,451.7405612,451.7405612,451.9735192,451.9902363,None,up,2.0831361,451.9902363,None,451.9902363,453.0723664,0.1686295,None,,,,,,,,,48,1,2020_Jan_03_1626,untitled,3.1.0,60.06922378
169,F,M,0,L,N,169FM000LN,HLN,0,9,9,120,,,1.205,454.2983883,454.5879561,454.5879561,454.7877164,454.8044939,None,down,2.7823686,454.8044939,None,454.8044939,456.0033227,0.2116258,None,,,,,,,,,48,1,2020_Jan_03_1626,untitled,3.1.0,60.06922378
