Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
15,R,M,270,R,N,015RM270RN,HRN,0,0,0,102,263.4021251,None,0.838,291.9446913,292.2423696,292.2423696,292.4256028,292.4256028,None,down,2.5657154,292.4256028,None,292.4256028,293.2583669,0.2286526,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
_,_4,N,135,_,_,__4N135__,N,0,1,1,83,,,1.239,295.3515159,295.6422995,295.6422995,295.7904663,295.8074282,None,None,,295.8074282,None,295.8074282,297.0214793,0.266706,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
397,_4,M,180,R,N,397_4M180RN,HRN,0,2,2,164,,,1.322,299.4781442,299.7690034,299.7690034,299.9858126,300.0029163,299.4781442,down,2.1655821,300.0029163,None,300.0029163,301.3187298,0.1945102,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
135,F,N,270,R,N,135FN270RN,HRN,0,3,3,214,,,0.73,302.363313,302.6514103,302.6514103,302.8829023,302.8997042,None,up,1.7843582,302.8997042,None,302.8997042,303.6159553,0.1815941,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
130,F,N,45,R,N,130FN045RN,HRN,0,4,4,209,,,0.944,304.9071011,305.1977688,305.1977688,305.3975301,305.4147116,None,up,2.9321282,305.4147116,None,305.4147116,306.3466825,0.2099308,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
385,_4,N,0,R,N,385_4N000RN,HRN,0,5,5,256,,,1.187,308.531321,308.8277868,308.8277868,309.0609539,309.0774879,None,up,2.9167171,309.0774879,None,309.0774879,310.2442163,0.1722675,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
_,G,N,0,_,_,_GN000__,N,0,6,6,56,,,1.198,312.2097459,312.5084661,312.5084661,312.7091614,312.7250995,None,up,2.9647441,312.7250995,None,312.7250995,313.9075366,0.2007771,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
195,G,N,90,R,N,195GN090RN,HRN,0,7,7,226,,,1.251,315.8787745,316.1715226,316.1715226,316.4044716,316.4213741,None,up,3.4147762,316.4213741,None,316.4213741,317.653562,0.1762444,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
_,_4,M,315,_,_,__4M315__,N,0,8,8,39,,,0.821,320.0198834,320.3177835,320.3177835,320.5507429,320.5674481,None,down,2.7661116,320.5674481,None,320.5674481,321.366757,0.1709939,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
426,_4,M,45,L,N,426_4M045LN,HLN,0,9,9,169,,,1.345,323.5141832,323.8145542,323.8145542,324.0477323,324.0645143,None,None,,324.0645143,None,324.0645143,325.3966912,0.1694988,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
_,_4,N,225,_,_,__4N225__,N,0,10,10,85,,,1.083,327.721196,328.0115377,328.0115377,328.2441836,328.2611283,327.721196,up,3.1480049,328.2611283,None,328.2611283,329.3275105,0.1817971,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
34,R,N,45,L,N,034RN045LN,HLN,0,11,11,201,,,1.057,331.5919471,331.8907698,331.8907698,332.1239942,332.1412133,None,up,2.365459,332.1412133,None,332.1412133,333.1899725,0.1703379,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
163,F,N,90,L,N,163FN090LN,HLN,0,12,12,218,,,1.242,334.7032094,335.004819,335.004819,335.2211421,335.2378715,None,up,2.3328239,335.2378715,None,335.2378715,336.4708797,0.1824517,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
269,_2,M,180,R,N,269_2M180RN,HRN,0,13,13,148,,,0.96,337.7904909,338.0855444,338.0855444,338.2860441,338.3021967,None,None,,338.3021967,None,338.3021967,339.2514495,0.2051809,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
_,R,M,180,_,_,_RM180__,N,0,14,14,20,,,1.199,342.0787785,342.3819665,342.3819665,342.4819945,342.4986027,342.0787785,down,2.7171693,342.4986027,None,342.4986027,343.6807048,0.2988628,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
428,_4,M,135,L,N,428_4M135LN,HLN,0,15,15,171,,,0.777,345.539653,345.8288436,345.8288436,345.9287747,345.945508,None,down,2.1677997,345.945508,None,345.945508,346.7116212,0.3094708,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
139,F,M,90,R,N,139FM090RN,HRN,0,16,16,114,,,0.824,348.3477571,348.6428882,348.6428882,348.8260696,348.8428526,None,down,2.2665204,348.8428526,None,348.8428526,349.6597651,0.2198433,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
170,F,M,45,L,N,170FM045LN,HLN,0,17,17,121,,,1.189,351.3469252,351.6403677,351.6403677,351.8236439,351.8405382,None,down,3.0503726,351.8405382,None,351.8405382,353.0071586,0.224462,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
_,F,M,135,_,_,_FM135__,N,0,18,18,3,,,1.267,355.1895129,355.4870266,355.4870266,355.6036664,355.6204006,None,up,3.2483363,355.6204006,None,355.6204006,356.8692201,0.2851324,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
232,G,N,315,L,N,232GN315LN,HLN,0,19,19,239,,,0.882,359.0608519,359.351654,359.351654,359.584032,359.6015134,None,up,2.8820482,359.6015134,None,359.6015134,360.4661058,0.1799271,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
_,G,M,135,_,_,_GM135__,N,0,20,20,11,,,0.831,362.6747603,362.965124,362.965124,363.1976447,363.2147293,None,None,,363.2147293,None,363.2147293,364.0344055,0.178819,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
162,F,N,45,L,N,162FN045LN,HLN,0,21,21,217,,,1.4,366.9942408,367.2935688,367.2935688,367.3935454,367.4101285,366.9942408,None,,367.4101285,None,367.4101285,368.7930572,0.3036744,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
264,_2,N,315,R,N,264_2N315RN,HRN,0,22,22,247,,,1.332,371.0859841,371.3882129,371.3882129,371.5901253,371.6066643,371.0859841,up,3.2685226,371.6066643,None,371.6066643,372.9227794,0.2009756,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
_,R,M,45,_,_,_RM045__,N,0,23,23,17,,,0.817,375.0896445,375.3867851,375.3867851,375.5864964,375.6035656,None,None,,375.6035656,None,375.6035656,376.4033195,0.1989216,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
301,_2,M,180,L,N,301_2M180LN,HLN,0,24,24,156,,,1.36,379.3093227,379.5992514,379.5992514,379.7841132,379.8006475,379.3093227,up,3.3635869,379.8006475,None,379.8006475,381.1479567,0.2288048,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
176,F,M,315,L,N,176FM315LN,HLN,0,25,25,127,,,0.915,383.3804065,383.6791535,383.6791535,383.8794512,383.896091,None,down,3.065087,383.896091,None,383.896091,384.7950651,0.2029619,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
_,F,N,45,_,_,_FN045__,N,0,26,26,49,,,0.946,387.1775985,387.4760361,387.4760361,387.6755204,387.6923618,None,up,2.3668789,387.6923618,None,387.6923618,388.6249624,0.2034116,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
495,_5,M,270,L,N,495_5M270LN,HLN,0,27,27,190,,,1.023,390.3880229,390.6879097,390.6879097,390.7738139,390.7948732,None,up,3.0779905,390.7948732,None,390.7948732,391.806763,0.313234,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
5,R,N,180,R,N,005RN180RN,HRN,0,28,28,196,,,1.218,394.0901491,394.3879219,394.3879219,394.5862473,394.6029215,None,up,3.3165271,394.6029215,None,394.6029215,395.8019915,0.2043668,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
268,_2,M,135,R,N,268_2M135RN,HRN,0,29,29,147,,,0.843,398.1368014,398.4329817,398.4329817,398.6325723,398.6496308,None,up,2.9320626,398.6496308,None,398.6496308,399.4821175,0.2047956,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
390,_4,N,225,R,N,390_4N225RN,HRN,0,30,30,261,,,1.383,401.7991342,402.0965861,402.0965861,402.296616,402.3131949,None,up,2.8650265,402.3131949,None,402.3131949,403.6788138,0.2035895,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
_,G,M,315,_,_,_GM315__,N,0,31,31,15,,,0.701,405.370775,405.6606716,405.6606716,405.8933428,405.9105165,None,down,2.3835412,405.9105165,None,405.9105165,406.5931395,0.1803219,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
161,F,N,0,L,N,161FN000LN,HLN,0,32,32,216,,,0.796,408.4957372,408.7910146,408.7910146,409.0071357,409.0238368,None,up,2.1184834,409.0238368,None,409.0238368,409.8091141,0.189165,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
172,F,M,135,L,N,172FM135LN,HLN,0,33,33,123,,,1.296,411.3495135,411.6388299,411.6388299,411.8547413,411.871896,None,down,3.2986895,411.871896,None,411.871896,413.1536062,0.1945534,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
3,R,N,90,R,N,003RN090RN,HRN,0,34,34,194,,,1.093,415.3574674,415.6512671,415.6512671,415.8843874,415.9011098,None,None,,415.9011098,None,415.9011098,416.9836185,0.175285,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
_,F,N,135,_,_,_FN135__,N,0,35,35,51,,,0.965,419.5915061,419.8808018,419.8808018,420.0819434,420.1038282,419.5915061,up,2.8935792,420.1038282,None,420.1038282,421.0468211,0.2121155,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
271,_2,M,270,R,N,271_2M270RN,HRN,0,36,36,150,,,1.056,423.2279193,423.5276218,423.5276218,423.710725,423.7274926,None,None,,423.7274926,None,423.7274926,424.7782336,0.2160378,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
33,R,N,0,L,N,033RN000LN,HLN,0,37,37,200,,,1.248,427.4245196,427.7239307,427.7239307,427.9237733,427.9404588,427.4245196,up,2.7489362,427.9404588,None,427.9404588,429.1728056,0.2029611,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
140,F,M,135,R,N,140FM135RN,HRN,0,38,38,115,,,1.107,430.9132514,431.2042899,431.2042899,431.4040822,431.4209139,None,None,,431.4209139,None,431.4209139,432.519887,0.2119644,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
_,_4,N,45,_,_,__4N045__,N,0,39,39,81,,,0.884,435.1344105,435.4339621,435.4339621,435.6005088,435.6172174,435.1344105,up,2.3176054,435.6172174,None,435.6172174,436.4851787,0.2374883,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
489,_5,M,0,L,N,489_5M000LN,HLN,0,40,40,184,,,1.059,438.5456964,438.5456964,438.5456964,438.8476475,438.8476475,None,down,2.6032697,438.8476475,None,438.8476475,439.7135293,0.5970811,None,,,,,,,,,45,1,2020_Jan_03_1138,untitled,3.1.0,60.11053127
