Name,Coef.,Std. Error,z,Pr(>|z|),Lower 95%,Upper 95%
(Intercept),2.6512973841654257,0.3842652521079678,6.899654261271808,5.212925374151604e-12,1.898151329523603,3.4044434388072484
Language: English,-2.274162782683487,0.43050182716310054,-5.28258566907753,1.273732399545265e-7,-3.117930859201853,-1.4303947061651208
Language: French,-2.24583227605726,0.4307418854214063,-5.213870190172248,1.8494090869210342e-7,-3.090070858116097,-1.4015936939984235
Language: Spanish,-2.1886738622173123,0.4312818226602193,-5.074811288630718,3.878807556010887e-7,-3.0339707018181343,-1.34337702261649
Group: TD,0.21550119798308276,0.5329307339233847,0.40436999457055833,0.6859406614649195,-0.8290238467612521,1.2600262427274176
Language: English & Group: TD,1.5778696311376545,0.6302545064645393,2.5035435922367846,0.012295653248577275,0.3425934973730882,2.813145764902221
Language: French & Group: TD,1.3409122461427962,0.6214119200309073,2.1578476416675483,0.03093967940916718,0.12296726331833119,2.5588572289672613
Language: Spanish & Group: TD,1.2364103065563634,0.6199851407684469,1.99425796725367,0.04612387018898467,0.02126175970020938,2.4515588534125174
