trialNumber,mychoice,otherchoice,stay,skip,pointsWon,otherScore,unobtained,choicepos,pos_1,otherscore,allowedkeyresp,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,left_3.started,left_3.stopped,middle_3.started,middle_3.stopped,right_3.started,right_3.stopped,otherleft_1.started,otherleft_1.stopped,othermiddle_1.started,othermiddle_1.stopped,otherright_1.started,otherright_1.stopped,text_2.started,text_2.stopped,left_4.started,left_4.stopped,right_4.started,right_4.stopped,middle_4.started,middle_4.stopped,ISI_3.started,ISI_3.stopped,mypick.started,mypick.stopped,otherpick.started,otherpick.stopped,residal.started,residal.stopped,otherleft_5.started,otherleft_5.stopped,othermiddle_5.started,othermiddle_5.stopped,otherright_5.started,otherright_5.stopped,left_5.started,left_5.stopped,right_5.started,right_5.stopped,middle_5.started,middle_5.stopped,ISI_5.started,ISI_5.stopped,mypick_1.started,mypick_1.stopped,otherpick_1.started,otherpick_1.stopped,residal_1.started,residal_1.stopped,otherleft_6.started,otherleft_6.stopped,othermiddle_6.started,othermiddle_6.stopped,otherright_6.started,otherright_6.stopped,text_3.started,text_3.stopped,rating,ratingrt,totalScore,othertotalScore,unobtainedScore,image_4.started,image_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,image_5.started,image_5.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,otherleft_3.started,otherleft_3.stopped,othermiddle_3.started,othermiddle_3.stopped,otherright_3.started,otherright_3.stopped,text_4.started,text_4.stopped,ISI_2.started,ISI_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,otherleft_4.started,otherleft_4.stopped,othermiddle_4.started,othermiddle_4.stopped,otherright_4.started,otherright_4.stopped,text_5.started,text_5.stopped,left.started,left.stopped,right.started,right.stopped,middle.started,middle.stopped,ISI.started,ISI.stopped,mypick_3.started,mypick_3.stopped,otherpick_3.started,otherpick_3.stopped,residal_3.started,residal_3.stopped,otherleft.started,otherleft.stopped,othermiddle.started,othermiddle.stopped,otherright.started,otherright.stopped,right_2.started,right_2.stopped,middle_2.started,middle_2.stopped,left_2.started,left_2.stopped,ISI_4.started,ISI_4.stopped,mypick_4.started,mypick_4.stopped,otherpick_4.started,otherpick_4.stopped,residal_4.started,residal_4.stopped,otherleft_2.started,otherleft_2.stopped,othermiddle_2.started,othermiddle_2.stopped,otherright_2.started,otherright_2.stopped,text_6.started,text_6.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,35.32663349999348,None,space,11.719447500014212,35.32663349999348,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
13,0,0,50,one,0,0,50,,,,,0,0,0,12,,,,,,,,,,,a,1.73012360004941,47.151245400018524,None,47.151245400018524,None,48.93968199996743,None,48.93968199996743,None,48.93968199996743,None,50.90114380000159,51.40461089997552,50.90114380000159,51.40461089997552,50.90114380000159,51.40461089997552,48.93968199996743,None,51.46728304999415,None,51.46728304999415,None,51.46728304999415,None,0.014188950066454709,None,51.46728304999415,None,51.46728304999415,None,51.46728304999415,None,51.46728304999415,None,51.46728304999415,None,51.46728304999415,None,51.47713259997545,None,51.47713259997545,None,51.47713259997545,None,0.004127750056795776,0.5041277500567958,51.47713259997545,None,51.47713259997545,None,51.47713259997545,None,51.47713259997545,None,51.47713259997545,None,51.47713259997545,None,53.46586150000803,53.46586150000803,-0.29999999999999716,11.033,200,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
48,50,200,200,two,50,200,200,,,,,0,1,1,47,,,,,,,,,,,g,3.942875499953516,64.62783660000423,None,64.62783660000423,None,68.61457969999174,None,68.61457969999174,None,68.61457969999174,None,70.56440149998525,71.06532120000338,70.56440149998525,71.06532120000338,70.56440149998525,71.06532120000338,68.61457969999174,None,71.1786554999766,None,71.1786554999766,None,71.1786554999766,None,0.02315610001096502,None,71.1786554999766,None,71.1786554999766,None,71.1786554999766,None,71.1786554999766,None,71.1786554999766,None,71.1786554999766,None,71.1810052000219,None,71.1810052000219,None,71.1810052000219,None,0.013623700069729239,0.5136237000697292,71.1810052000219,None,71.1810052000219,None,71.1810052000219,None,71.1810052000219,None,71.1810052000219,None,71.1810052000219,None,73.18693514999468,None,-6.200000000000003,7.945,250,200,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
51,-150,0,-200,one,-150,0,-200,,,,,0,2,2,50,,,,,,,,,,,l,4.73857990000397,81.17885789996944,None,81.17885789996944,None,85.97986660001334,None,85.97986660001334,None,85.97986660001334,None,87.91703599999892,88.4441829000134,87.91703599999892,88.4441829000134,87.91703599999892,88.4441829000134,85.97986660001334,None,88.51681084999582,None,88.51681084999582,None,88.51681084999582,None,0.006056350015569478,None,88.51681084999582,None,88.51681084999582,None,88.51681084999582,None,88.51681084999582,None,88.51681084999582,None,88.51681084999582,None,88.53959950001445,None,88.53959950001445,None,88.53959950001445,None,0.025788000028114766,0.5257880000281148,88.53959950001445,None,88.53959950001445,None,88.53959950001445,None,88.53959950001445,None,88.53959950001445,None,88.53959950001445,None,90.53283949999604,90.53283949999604,-1.0,4.308,100,200,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
22,0,0,200,two,0,0,200,,,,,0,3,3,21,,,,,,,,,,,g,8.322361800004728,94.92472389998147,None,94.92472389998147,None,103.27627630002098,None,103.27627630002098,None,103.27627630002098,None,105.22338260000106,105.74068270000862,105.22338260000106,105.74068270000862,105.22338260000106,105.74068270000862,103.27627630002098,None,105.80684944997775,None,105.80684944997775,None,105.80684944997775,None,0.026858449971769005,None,105.80684944997775,None,105.80684944997775,None,105.80684944997775,None,105.80684944997775,None,105.80684944997775,None,105.80684944997775,None,105.80742719996488,None,105.80742719996488,None,105.80742719996488,None,0.01882294996175915,0.5188229499617592,105.80742719996488,None,105.80742719996488,None,105.80742719996488,None,105.80742719996488,None,105.80742719996488,None,105.80742719996488,None,107.79011100000935,107.79011100000935,-8.0,2.171,100,200,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
82,0,-150,-150,two,0,-150,-150,,,,,0,4,4,81,,,,,,,,,,,g,2.8565661999746226,110.01993569999468,None,110.01993569999468,None,112.93913499999326,None,112.93913499999326,None,112.93913499999326,None,114.9123513000086,115.41473059996497,114.9123513000086,115.41473059996497,114.9123513000086,115.41473059996497,112.93913499999326,None,115.44777844996425,None,115.44777844996425,None,115.44777844996425,None,0.015922349994070828,None,115.44777844996425,None,115.44777844996425,None,115.44777844996425,None,115.44777844996425,None,115.44777844996425,None,115.44777844996425,None,115.45823180000298,None,115.45823180000298,None,115.45823180000298,None,0.003609549952670932,0.5036095499526709,115.45823180000298,None,115.45823180000298,None,115.45823180000298,None,115.45823180000298,None,115.45823180000298,None,115.45823180000298,None,117.45892030000687,117.45892030000687,2.700000000000003,2.693,100,50,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
41,200,50,200,one,200,50,200,,,,,0,5,5,40,,,,,,,,,,,l,4.308232399984263,120.22151429997757,None,120.22151429997757,None,124.57036229997175,None,124.57036229997175,None,124.57036229997175,None,126.53629909997107,127.03662729996722,126.53629909997107,127.03662729996722,126.53629909997107,127.03662729996722,124.57036229997175,None,127.0696751499665,None,127.0696751499665,None,127.0696751499665,None,0.02380404993891716,None,127.0696751499665,None,127.0696751499665,None,127.0696751499665,None,127.0696751499665,None,127.0696751499665,None,127.0696751499665,None,127.06898749998072,None,127.06898749998072,None,127.06898749998072,None,0.015844049979932606,0.5158440499799326,127.06898749998072,None,127.06898749998072,None,127.06898749998072,None,127.06898749998072,None,127.06898749998072,None,127.06898749998072,None,129.03629159997217,129.03629159997217,20.900000000000006,5.902,300,100,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
85,-200,-200,0,one,-200,-200,0,,,,,0,6,6,84,,,,,,,,,,,a,3.7280843000044115,135.00329259998398,None,135.00329259998398,None,138.78446729999268,None,138.78446729999268,None,138.78446729999268,None,140.7112021999783,141.21740039996803,140.7112021999783,141.21740039996803,140.7112021999783,141.21740039996803,138.78446729999268,None,141.28353614999213,None,141.28353614999213,None,141.28353614999213,None,0.025655750010628253,None,141.28353614999213,None,141.28353614999213,None,141.28353614999213,None,141.28353614999213,None,141.28353614999213,None,141.28353614999213,None,141.28280719998293,None,141.28280719998293,None,141.28280719998293,None,0.018296750029549003,0.518296750029549,141.28280719998293,None,141.28280719998293,None,141.28280719998293,None,141.28280719998293,None,141.28280719998293,None,141.28280719998293,None,143.27390440000454,143.27390440000454,-8.899999999999999,6.588,100,-100,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
86,-200,0,-200,one,-200,0,-200,,,,,0,7,7,85,,,,,,,,,,,g,4.098269599955529,149.9493437000201,None,149.9493437000201,None,154.09913340001367,None,154.09913340001367,None,154.09913340001367,None,156.06389900000067,156.58087269996759,156.06389900000067,156.58087269996759,156.06389900000067,156.58087269996759,154.09913340001367,None,156.61392054996685,None,156.61392054996685,None,156.61392054996685,None,0.027436549949925393,None,156.61392054996685,None,156.61392054996685,None,156.61392054996685,None,156.61392054996685,None,156.61392054996685,None,156.61392054996685,None,156.61297299998114,None,156.61297299998114,None,156.61297299998114,None,0.02065434993710369,0.5206543499371037,156.61297299998114,None,156.61297299998114,None,156.61297299998114,None,156.61297299998114,None,156.61297299998114,None,156.61297299998114,None,158.59721450001234,158.59721450001234,-10.299999999999997,4.053,-100,-100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
71,0,-200,0,two,0,-200,0,,,,,0,8,8,70,,,,,,,,,,,g,2.9545186999603175,162.71043289999943,None,162.71043289999943,None,165.68652609997662,None,165.68652609997662,None,165.68652609997662,None,167.64503100002185,168.16207760001998,167.64503100002185,168.16207760001998,167.64503100002185,168.16207760001998,165.68652609997662,None,168.19512545001925,None,168.19512545001925,None,168.19512545001925,None,0.02465884998673573,None,168.19512545001925,None,168.19512545001925,None,168.19512545001925,None,168.19512545001925,None,168.19512545001925,None,168.19512545001925,None,168.19410779996542,None,168.19410779996542,None,168.19410779996542,None,0.017462550080381334,0.5174625500803813,168.19410779996542,None,168.19410779996542,None,168.19410779996542,None,168.19410779996542,None,168.19410779996542,None,168.19410779996542,None,170.16170399996918,170.16170399996918,-3.6000000000000014,2.811,-100,-300,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,22,chengyi,2022_Apr_12_0839,experiment3,2021.1.4,30.0134009842546,
