A1C1,A1C0,A0C1,A0C0,A1,C1,Total,MI,C0GvA1,C1GvA1,C1GvA0,dltP,dltPp,Image_practice,Image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,image1.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,polygon1.started,ISI.started,image.started,textbox.started,text.started,key_resp.started,textbox.text,key_resp.keys,key_resp.rt,instruction2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,polygon2.started,ISI2.started,image_2.started,textbox_2.started,text_2.started,key_resp_2.started,textbox_2.text,key_resp_2.keys,key_resp_2.rt,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,15.347706454000217,15.347706454000217,space,139.2258437700002,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
0,0,0,9,0,0,9,1.0,None,None,0.0,None,None,practice_stimuli/P_00_00_00_09.png,,0,0,0,0,,,,,,,,,154.64339516699965,0.014040991999536345,155.26985737199993,155.26985737199993,155.26985737199993,155.26985737199993,10,return,7.125641229000394,,,,,,,,,,,,,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,0,36,0,18,54,54,1.0,0.0,1.0,1.0,0.0,None,practice_stimuli/P_18_00_36_00.png,,0,1,1,1,,,,,,,,,162.41148988999976,0.0005778880004072562,162.9085324710004,162.9085324710004,162.9085324710004,162.9085324710004,50,return,3.8691043199996784,,,,,,,,,,,,,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
9,18,18,0,27,27,45,0.6,0.67,0.33,1.0,-0.67,#NAME?,practice_stimuli/P_09_18_18_00.png,,0,2,2,2,,,,,,,,,166.79683975399985,0.00064025999927253,167.2982769649998,167.2982769649998,167.2982769649998,167.2982769649998,25,return,6.867736408000383,,,,,,,,,,,,,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,18,18,36,54,54,108,0.83,0.33,0.67,0.33,0.33,0.5,practice_stimuli/P_36_18_18_36.png,,0,3,3,3,,,,,,,,,174.1915342430002,0.0006523679994643317,174.6930875099997,174.6930875099997,174.6930875099997,174.6930875099997,40,return,7.113197923000371,,,,,,,,,,,,,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.8358166500002,181.8358166500002,space,29.12013099900014,,,,,,,,,,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,0,36,36,36,72,108,1.0,0.0,1.0,0.5,0.5,1.0,,stimuli/P_36_00_36_36.png,,,,,0,0,0,207,,,,,,,,,,,,,,,,,,211.02819720800017,0.05239269100002275,211.590270658,211.590270658,211.590270658,211.590270658,30,return,5.088172755000414,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
36,36,0,9,72,36,81,0.56,0.5,0.5,0.0,0.5,0.5,,stimuli/P_36_36_00_09.png,,,,,0,1,1,241,,,,,,,,,,,,,,,,,,216.69617055300023,0.0006435860004785354,217.1927663690003,217.1927663690003,217.1927663690003,217.1927663690003,30,return,5.22404724199987,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,9,0,18,27,18,45,0.8,0.33,0.67,0.0,0.67,0.67,,stimuli/P_18_09_00_18.png,,,,,0,2,2,146,,,,,,,,,,,,,,,,,,222.43009947999963,0.0007969609996507643,222.92321630900005,222.92321630900005,222.92321630900005,222.92321630900005,25,return,3.6517072900005587,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
18,18,36,9,36,54,81,0.78,0.5,0.5,0.8,-0.3,-1.5,,stimuli/P_18_18_36_09.png,,,,,0,3,3,173,,,,,,,,,,,,,,,,,,226.59571614099968,0.0006680320002487861,227.0904760430003,227.0904760430003,227.0904760430003,227.0904760430003,20,return,4.382572421000077,,,6,001,2023-04-16_19h14.32.496,untitled,2022.2.5,None,
